index,comments,score
0,从6s转11，体验极好，相对于之前用的小屏幕，感觉11真的太大了。用了三天了，给我感觉就是一个字，棒，续航真的没话说，我平时不打游戏，偶尔刷刷视频和聊聊天，电量最多能用两天！而且打开软件的速度很快，几乎完美！哈哈哈,5
0,完美展示这手机的紫色美 屏幕音效：屏幕虽然是LCD的，相较于三星amoled ，分辨率显得较低，颜色也没有三星手机靓丽，但好在没有频闪，看久了很是舒服啊 拍照效果：两个摄像头，你说牛不牛，平常拍照了，iphone拍照一如既往的真实，特别是两个摄影头带来了更多的玩法 运行速度：A13是真的快，ios13也是真的牛皮。完全不掉帧，快的一批 待机时间：待机时间超长，一天一冲完全够了，而且自己在网上买个快充套装，可以怼到18w，一个小时多一点就可以完全充满，临时出门，充半个小时也有百分之50，快充这个功能真的真的很实用 其他特色：价位，跟上一代比算是良心价了，总体来说很满意，推荐大家购买！后摄像头会很丑，结果到手后颜值爆表，手感也很好！系统的运行速度没的说，很丝滑！唯一的不足是屏幕的ppi太低，没有三星的oled屏看起来细腻，不过用了两天也就看习惯了！总体还是很棒的！手机用了几天了，比较满意。手机外观漂亮，拿着手感很好，大小刚刚好。屏幕清淅细腻，外放音质非常好。大广角镜头外出拍风景照片最好了，ios手机系统运行非常流畅，用久了也不会卡机。新机子不玩游戏正常使用电量基本能用两天。表扬一下京东，送,5
0,外形外观：6.1寸的刘海屏，浴霸摄像头，屏幕尺寸比之前用的6大很多\n屏幕音效：屏幕画质清晰，音效依然这么不错，超级赞\n拍照效果：拍照效果很棒，比之前用的6清晰很多，广角镜头很好用，赞\n运行速度：运行速度很快，应该可以坚持二三年,5
0,"运行速度：我是用的仟元卷,省不少啊，追加里面说方法。苹果11手机绿色款,外观时尚又大方，日常使用运行很流畅，反应速度特别快,无论是玩游戏还是看视频,完全不担心卡顿。苹果手机ios系统非常牛，苹果产品的运行速度从未让人失望过,一如既往地快。电池容量提升很多，待机时间长。大品牌非常棒,外观颜色也很漂亮,看着很透亮，系统很稳定，手机大小正合适。颜色清新脱俗，不艳丽,很适合女生用，屏幕虽然是LCD的,相较于三星amoled ,分辨率显得较低,颜色也没有三星手机靓丽，但好在没有频闪,看久了很是舒服啊。京东可以做12期的免息分期，可以缓解压力。屏幕在LCD界非常棒。想等Pro的,忍不住要换了,不知道还要多久才发布也不一定抢得到，考虑了很久还是决定换了11,幸好哥哥蛮推荐的，用这个京东活动限时绢1芊那,是聊天工具fut再连上了u8再989。总体来说都很棒!运行速度a13名不虚传全球第一。 拍照真的没得讲,非常清晰,相当清晰,就是清晰,唯一的缺点就是拍得非常清晰。充电速度非常快，京东快递很快，值得表扬。",5
0,原来的手机外音坏了，又可以换手机了。4000左右加价性价比算是很高的了。\n外形外观：选的是白色看上去很清爽\n屏幕音效：放音乐的时候，把手机横着放着立体感很强的哦！\n运行速度：运行速度很快玩王者荣耀，开了好几个程序也不卡,5
0,京东自营一直是我高价值商品的首选，货物配送的速度和态度超赞，购买体验很好?\n这是第二部苹果11了，这次是给老婆买的，没有5G网络需求，果断下单了白色128G快充套餐，性价比还是很高。\n外观精美，做工精良，没得说，很苹果&hellip;&hellip;自己的苹果11使用也快两年了，一直都很省心。\nA13处理器目前依旧很强，日常使用游刃有余，电池续航满足中度使用一整天，立体声扬声器音效棒棒的。\n戴上Airpods体验Apple music（京东赠送的会员）效果非常棒?\nios系统就不用多节介绍了，不卡顿，APP开发质量好高，还是那句话，用起来省心。\n如果朋友们没5G需求，强烈推荐大家购买！,5
0,丝滑,5
0,外形外观：外观其实算出乎我的意料 犹豫白色的姐妹别怀疑 直接冲 \n屏幕音效：音效各方面也十分优秀\n拍照效果：拍照效果的话 苹果毋庸置疑 但是11真的有一点发黄\n运行速度：运行速度真的很快 没有什么可以说的\n待机时间：电池我觉得还是够用的 正常使用7-8个小时是可以的,5
0,iPhone 11这个三年前的机子放在现在还是那么的能打，苹果a11旗舰处理器，玩吃鸡，王者，元神都轻松无压力，画质也很好，流畅的起飞，日常使用更是轻松应对，屏幕显示效果好，看屏幕不会很累，很好手机值得买！,5
0,屏幕音效：屏幕音效：没 有什么杂音，音效挺好的。\n拍照效果：拍照挺清晰的。\n运行速度：运行速度：永远可以相信京东的物流非常的快，今天下单，明天8点就到。 \n外形外观：外形外观：外观整体还是非常的好，颜值也高，手感非常好,5
1,外形外观：黑色的外观非常大气，男士拿在手里非常漂亮。\n屏幕音效：播放音乐音质非常好，动听的旋律，优美的歌声。\n拍照效果：拍照效果比我现在的XS要清晰。\n运行速度：运行速度比我现在的XS要快。\n其他特色：苹果11采用LCD屏，对眼睛更加友好。尝试使用了媳妇的苹果12和同事的苹果13。OLED屏是我感觉更容易劳累。所以选择了这款苹果11。,5
1,外形外观：全新未拆封的国行正品手机完美\n屏幕音效：原装手机，好屏幕Let\n运行速度：很流畅，吊打所有安卓机\n待机时间：待机时间长，两三天\n其他特色：白色好看经典，京东自营,5
1,喜欢苹果11手机的机型，薄薄的，手感好。近期买了两部，过春节用新买的手机拍照，照片的效果非常好。家人也喜欢。,5
1,包装设计风格简约大气上档次。手机的外观大小都非常合适。屏幕的分辨率比较高。比较清晰。音质效果也比较好。听歌听音乐特别的棒。拍照效果比较好。人拍出来，比较真实。运行速度特别快。待机时间比较长。玩游戏特别的棒。,5
1,外形外观：苹果的经典外观，喜欢的直屏，虽然没有安卓手机的曲面屏做的惊艳，但是很耐看，比较实用。\n屏幕音效：LCD屏幕中规中矩，颜色显示很准确，看起来也柔和一些，不累眼。\n拍照效果：试了一下拍照效果，比现在用的6sp好很多，特别是夜景提升很大，总体满意，还没有试过录像。\n运行速度：平时不玩游戏，日常办公足够了，其实现在对很多人而言手机都有点性能过剩了。\n其他特色：京东快递包装的很好，里面还有专门的京东封条，已经第三次在京东买手机了，比较放心。,5
1,物流非常快，一天不到就收到了。\n屏幕音效：屏幕虽然是LCD的，相较于三星amoled ，分辨率显得较低，颜色也没有三星手机靓丽，但好在没有频闪，看久了很是舒服啊 \n拍照效果：拍照效果清晰，特别是在夜晚拍照效果特别好，特意试了一下全屋夜晚拍摄，非常棒\n运行速度： A13是真的快，ios13也是真的牛皮。完全不掉帧，苹果手机用起来一直都是很流畅\n待机时间：待机时间超长，一天一冲完全够了,5
1,外形外观：圆滑方便手握手拿\n屏幕音效：超级质感音效 无杂音\n拍照效果：拍照效果比X的效果清晰辨识度高 尤其是夜间拍照辨识度更明显\n运行速度：运行速度比X快 而且不卡\n待机时间：待机时间1天\n其他特色：颜色比12红色正 12颜色略偏黄色\n特意买的11就是因为周边是圆弧形状比12拿着舒服 12棱棱角角 拿着硌手 如同5S一样,5
1,外观设计非常时尚，使用起来特别舒服方便，顺手，已经习惯?苹果?的操作系统和设备等方面了！！！\n就是有点太沉了，砸脸砸的太疼???\n推荐购买哟！,5
1,外形外观：外观很好看 很时尚 比较精致\n屏幕音效：屏幕也很高 质量很高 扩音器很给力 声音很大\n拍照效果：拍照质量很好 像素很给力\n运行速度：苹果的系统很给力特别给力\n待机时间：待机时间很长很给力用一天没问题。比较喜欢\n其他特色：操作很简单 用惯了很顺手 喜欢的很,5
1,外形外观：外形好看，外观精美绝伦，这代的苹果11颜值比较高，非常好看。\n屏幕音效：屏幕清晰细腻，音效效果特别棒，不管是听音乐还是看电影，效果都很好。\n拍照效果：拍照效果没的说，像素很高，拍出来的景色人物都显得特别真实。\n运行速度：苹果产品的运行速度从来没让人失望过，速度非常快。\n待机时间：电池容量提升了很多，待机时长也大大增加了。\n其他特色：大品牌值得信赖，非常值得大家拥有。,5
2,发货速度很快，9月2日下单的货，9月3日就收到货了！\n外形外观：很漂亮！\n屏幕音效：效果很好！\n拍照效果：效果非常好！\n运行速度：速度很快！\n待机时间：待机时间长！\n其他特色：价格便宜！,5
2,外形外观：外形好看漂亮美观。外观精美有档次，让人看了一眼就能喜欢上这么好看的手机。\n屏幕音效：屏幕不伤眼不刺眼，使用起来感觉非常舒服。音效效果特别棒，不管是看电影还是听音乐，都非常有感觉。\n拍照效果：拍照效果特别棒，拍出来的人物景色等都特别棒真实。\n运行速度：运行速度一直都非常快。\n待机时间：电池容量增加了，手机的待机时长也随之增加了。\n其他特色：大品牌值得信赖，值得大家购买使用。,5
2,黄色iPhone 真是惊喜中的惊喜！！金色包边简直就是真金配色！！不知道为什么这个颜色卖的最不好，而且价钱最低，哈哈，还是得有识货的人！六月做活动四一九九买到。不错不错,5
2,真的超级喜欢，质量非常好，与卖家描述的一致！跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理,5
2,?心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实?,5
2,外形外观：造型设计真心不错，手感确实很好，贵也是有贵的道理的。好东西没办法，\n屏幕音效：屏幕显示细腻，亮度正好，显示的颜色真心赞。\n拍照效果：白天拍照效果不错，上手很容易，很好用。晚上差点，\n运行速度：机子整体反应速度很快。系统确实不一样，稳定。快。,5
2,手机用起来好用才是关键，虽然价格合理不错。用起来顺手才是真的不错哈，11也挺香的。对于我来说，工资不高，用苹果还是可以的。嘻嘻?手机运行速度可以，拍照效果也挺好的。苹果的系统很喜欢，不会卡顿，用个三四年也是可以的。\n外形外观：外观看来手感不错，有质感很好,5
