index,comments,score
0,才用不到一个月就出问题?,1
0,外形外观：充电口有划痕,1
0,产品有瑕疵，客服不理会,1
0,下单时我付的是六期免息，还多收了我三百块钱,1
0,刷朋友圈卡顿不想换了到时候换14吧,1
0,出了问题。修了快一个月了。还没收到我,1
0,东西非常好，我给六星，这是多出来的一科,1
0,收货后有磕碰划痕，让我都不敢京东买手机了，唉,1
0,无服务，信号比较差，不建议购买，等14吧，,1
0,用了一个月，手机变的卡的要死,1
1,尺寸明显比手机小一圈,1
1,用了一个月左右就卡了,1
1,有人知道打吃鸡麦克风有杂音怎么回事嘛,1
1,拍照是真的不如苹果8p。大家慎入，拍照还有白点点不知道为何,1
1,新手机怎么会出现扫不了码,1
1,还次日达呢？等了一天也没等到，到不了就不要搞个次日达吗,1
1,刚买两天就掉价200还不保价,1
1,根本就不按照说的反差价,1
1,物流很好,1
1,信号差得一批。QQ不点进去永远离线,1
2,买完就降价，这价格这么随便。,1
2,买完就降价，不显示卡，客服爱搭不理的。,1
2,发货转接，包装太土，差点儿摔坏了，精装发货，,1
2,刚买周就降价了，还不补差价,1
2,不太满意，玩儿游戏居然能直接卡掉？,1
2,刚买五天，就降200，还不让我申请保价，唉！你让我评价什么,1
2,刚买三天就降价了还补不了差价,1
2,降价700元 不价保 真是呵呵了,1
2,未送到指定地点，还自己坐地铁去,1
2,买来用了半个月，屏幕失灵一直叫我等待,1
3,标价便宜200，回收手机还不能导数据,1
3,没有存电器，别的头子还不能用,1
3,刚刚买了就降价477，说好的保价，结果说是优惠券不是降价,1
3,买完就降价，还不能保价,1
3,真狗，买完没多久就降价,1
3,刚买一周多 降好几百块钱 不给保价,1
3,触摸有些失灵，电池有点费电,1
3,刚买完两周降价500左右，不给价保，不让退换货,1
3,刚买一个星期过了保价就便宜几百块,1
3,手机使用一个月无法连接Wi-Fi,1
4,才几天就掉价，7天价保都没有,1
4,刚买完2天就降了200，还不给价保，都是套路,1
4,用了两周就卡住死机了，我都怀疑是不是正货?,1
4,物流慢，商品送货不及时,1
4,不给带充电器，也不说明一下！250！！,1
4,降价成这样 .你是要倒闭了啊,1
