index,comments,score
0,没有放充电器，什么情况？,1
0,大家别买，掉电很快，不要上当,1
0,买了没几天就降价了。找商家也不给退差价。,1
0,没有充电器，一点提示都没有,1
0,手机刚到手电池就不行了，都撑不到下班,1
0,贴好后效果很不错 打了几天游戏尽然脱开了,1
0,十天降价100，谁买谁是大冤种???,1
0,才买了多久，不知道为什么屏幕突然出现两条线。,1
0,拍的时候显示当天到货，一付完款就显示两天后到货，京东的信誉呢？,1
0,打游戏都卡死刚买的还是,1
1,这个包装盒坏成这样？,1
1,不满意标注充电套装和耳机但没耳机,1
1,运行速度：新买的，就卡顿，好几次了,1
1,充电器和手机不一块到，问客服还没个准信,1
1,买个手机，还要单独买充电器了吗,1
1,有手环功能解锁。但是就是用不了,1
1,有问题不回答，确实差。,1
1,买完不到一个月就降价，购买时需谨慎。,1
1,质量一般般，不是我想要的,1
1,买完就降价，而且也刚刚过价保期，京东这手办的漂亮,1
2,商家不开发票，再次申请发票,1
2,才购买半个月，就降价了300，亏死,1
2,买手机不带充电器真有意思,1
2,包装盒很脏，很旧的样子,1
2,刚买不到半个月就掉几百块，,1
2,怎么一买就出活动价的,1
2,软件天气无法获得当前位置,1
2,线东没有。华为越来越差。,1
2,没充电器比实体店还贵,1
2,我的充电器呢？还不发货,1
3,您没有填写内容，默认好评,1
3,买完就降价200块，亏了一个手表的钱,1
3,京东不划算，买了就预售降了300，申请保价还不给通过。,1
3,头一次买华为，特别烫手,1
3,只有一个裸机，其配件啥都没,1
3,刚买完没几天就降价一百，鄙视JD,1
3,没有明显提醒这个手机是不配充电设备。,1
3,没有想象中那么好，差点意思,1
3,其他特色：充电充不进,1
3,怎么没有充电器，充电线，这是什么操作,1
4,过了10天降了300，你**告诉我保价7天,1
4,手机可以 配送员非常不满意,1
4,价格浮动大，还不能保价，还不如买苹果,1
4,价格杂乱，配套不全，套路太深，想退货,1
4,才买还没几天就降价200，客服回应不在保价期限,1
4,没见过这么慢的发货，等现货手机等成了预售,1
4,耳机都不能用，充电器也没有,1
4,外包装挺脏，不像是新的?,1
4,指纹半天录不上，还不如之前的麦芒7录的快,1
4,快递太次，专等着收件，居然私自给做签收放菜鸟了，差差差,1
5,年前买的，年后就促销打折100块，坑,1
5,这手机的发热量也是绝了,1
5,手机不配送充电器，我是没搞懂 也没有个提示,1
5,我不能理解 用一会儿就发烧是啥意思 这确定是新机子吗,1
5,我买的带充电器结果收到货没有充电器,1
5,花同样价格买的竟然不是最新款，一度以为是买到假货,1
5,买手机没有充电器，就是一个手机,1
5,屏幕有凹横，性价比的东西，也不想换了,1
5,信号差两人手机一起同样华为的我新买的信号差,1
5,手机速度不好，信号不好，不值这个价钱,1
6,连个充电器都不配，而且问客服话都不回,1
6,手机不好用，淘宝图片模糊，现在也没人处理售后,1
6,买的页面有赠品，收到货发现赠品被取消，找客服一直不解决,1
6,说送充电器，一个礼拜了带还没发货???,1
6,买回来用起来老是断网，还有点卡,1
6,电池续航能力差强人意,1
6,没的三 四个小时就没电,1
6,发了半个月才发出，每次催单，都推来推去，没意思,1
6,手机到了，充电器没有发货吗都等了一周了,1
6,发货慢就忍了，而且货还没到，已经降价了。,1
7,买手机2天了，在正常使用情况下电池不耐用,1
7,这款手机连一个简单的充电器都没有配一个。,1
7,使用中散热不好，后盖特别烫。,1
7,买的时候看清楚，官方标配是没有充电器和耳机,1
7,比官网贵了300多元,1
7,手机是不是二手的 反应老慢了,1
7,手机还老死机 用了不到半个月 这华为完全是欺骗消费者,1
7,拆开是裸机，有点失望。作为备用机，算了。,1
7,充电器和数据线收到了，很重，很好,1
7,工作需要的App 软件无法使用，因为第10天也不能退，手机只能躺家里了。,1
8,买手机连充电器都没有,1
8,一个国产手机，跟苹果不送充电器，跟个屁的风,1
8,刚刚购买一周就降价了，价保7天，中午12点降价，价保期上午8点截止，真的是计算了的,1
8,用了还没一个月，屏幕就出现一些黄点,1
8,花钱买的没有给充电线，去别的店买还给充电线还比这便宜几百。,1
8,手机送货跑其他地方去了，耽误时间,1
8,发手机，不发充电器，手机到了四五天了，充电器还没发货,1
8,今天我用了一天卡了两次,1
8,用了几天就开始爱死机,1
8,到的时候只有一格电了  感觉不太靠谱,1
9,贴上膜之后指纹都识别不了,1
9,应还当天到的，第二天才到，只能等着&hellip;,1
9,容易发热，卡机，不好,1
9,我以为有多好似的，这就是你们支持的国货，不是一样不配充电器,1
9,后悔了买了，声音放大了有杂音,1
9,打视频冒绿光  退出来 小窗口就点不进去了 几次找客服都解决不了,1
9,*连个充电器都不给了么！,1
9,掉电速度非常快。通话声音特别小,1
9,突然间从mate系列换过来，有点差强人意,1
9,商品有瑕疵 还不给退货,1
10,发错色号，而且还踢皮球,1
10,没充电器，拍的时候也不告知，,1
10,不要买，用的不到俩个月开不了机,1
10,发热比较严重，还有点卡,1
10,没有充电线，指纹不好用,1
