index,comments,score
0,说说购机感受：\n外形外观：华为手机现在做工确实非常好，拿到手机后真是有点惊讶，2K多的手机能做的如此完美，感觉我的苹果都想换了！\n屏幕音效：屏幕显示细腻，智能亮度调节和护眼模式做的都非常好！音效很好！\n拍照效果：拍照功能和效果不输5、6K的品牌手机了！\n运行速度：运行流畅，秒开秒关各种APP，开机、人脸识别和指纹解锁不卡顿，无延迟，秒开！\n待机时间：新机首次开机电量42%，折腾了5、6个小时，还有27%的电量，期间还有测试各种功能，下载各种APP，听歌，打电话、刷视频等！续航能力还可以，两、三天一充没问题！\n其他特色：9号色耐看，颜值很高！\n系统特色：鸿蒙系统确认不错，各种个性化操作，不输苹果的ISO系统！\n总结：2K多的国产手机值得购买，性价比很高，整体表现还不错！,5
0,外形外观：外观大气上档次低调奢华有内涵\n屏幕音效：带弧度的屏幕看起来不错\n拍照效果：华为的还不错，照片质量很好\n运行速度：不卡顿，鸿蒙系统不错。\n待机时间：正常用2-3天\n其他特色：价格合适性价比可以,5
0,运行速度很快，9号色很好看，耗电正常，充电速度快，半小时左右就能充满，但是在第二次充电时发现了个问题，在没有东西覆盖的前提下，充到80%左右前，手机会有点发烫的情况。第二次在充满电拔下充电器时，100%会变成99%，去问了客服，客服态度很好，想来应该是我开了什么东西导致的，之后还是有出问题，也有去找客服，客服很耐心解决问题。手机很好用，客服也很好。,5
0,民族的品牌世界的品牌，手机我只信赖华为，中国的芯，中国的操作系统\n外形外观：非常耐看\n屏幕音效：棒\n拍照效果：不是一般的好，不是吹牛\n运行速度：流畅\n待机时间：36小时\n其他特色：9号色，好看,5
0,关注这款手机很久了，终于等到了京东有优惠活动，这款手机颜值很高性价比也很高，给老人买的经济实惠，配置方面现在用的是高通骁龙778的处理器，个人感觉不如麒麟芯片的好，但是价位实惠，不得不说华为的66W快充技术确实厉害，充电速度杠杠滴！,5
0,手机质感很好，鸿蒙系统操控丝滑流畅，曲面屏视觉大气。虽然不是海思麒麟芯片，而且是4G（大家都懂的，遭受某国打压迫害），但是依然挡不住我们铁粉的热情。希望华为努力做出更好的手机，自己的系统自己的芯片！！！永远支持我们自己的大品牌！！！,5
0,已经使用了两天，再回来追评，效果真不错，满足预期要求，愉快的一次购物体验。,5
0,?宝贝质量很好，收到货第一时间打开看了，很不错?，很满意?，客服也有问必答，感谢?宝贝做工真的非常精细，细节真的棒，爱了爱了东西比我想象中的还要完美，十分给力，值得入手好！非常好！质量好，和实体店一样，颜色正，是我喜欢的,5
0,哦吼，预订的华为NOVA9今天收到啦！开心开心，我买的是256G的9号色\n9号色这个颜色真的超级超级好看，小清新的蓝色，我都不想用手机壳了，先用原装带来的透明手机壳。\n使用了一下，感觉非常顺滑，鸿蒙操作系统很快。\n拍照效果很清晰，晚上再试试拍夜景的效果。\n虽然没有5G，但是这个价位的手机也是很好了！最后支持华为，支持国货！加油?,5
0,拍照效果：拍照很清楚\n屏幕音效：音效很棒\n其他特色：第一次用华为手机，整体感觉特别棒以后，鸿蒙系统很棒很流畅\n待机时间：第一天使用暂时不知\n运行速度：流畅\n外形外观：做工精致，重量轻单手可操作,5
