index,comments,score
0,连发票都没有，是正规的吗？,1
0,为什么充电器是分开的？,1
0,不怎么样啊，不值这个钱,1
0,异地收货，没到1个月就降价了快300，还不能保价，差价,1
0,刚买两星期就降价了400，还不不退差价，意难平,1
0,刚买就降价，瞬间想退货了,1
0,新机到手还没捂热呢就死机，真有些怕了,1
0,刚刚到手，才买就降价了，你们保不保价,1
0,保价处理得非常快，到货后，开机使用，非常不错，坐等充电器，好评,1
0,才买两条就降了一百多块钱 我要吐血了！,1
1,买手机竟然不带充电器的吗,1
1,刚买一个月就遇上3次重启系统崩溃,1
1,数据线还得多久才能发货啊,1
1,充电器没有，耳机没有，啥都没有,1
1,第一次买华为用华为，体验感为零。,1
1,无法申请保价，竟然不保价，买了之后降二百。,1
1,物非所值，全当交爱国税吧,1
1,手机不行，连个充电器都没有,1
1,服务态度不好，手机降价了不给退钱,1
1,没有配耳机，取卡器也没有配,1
2,充电器和手机不一起发货,1
2,手机网络有时会掉线，不理想,1
2,手机烫的不行，一个多月,1
2,没有充电器，问了客服态度也不好,1
2,像素不怎么样，放音乐手机共震太大,1
2,收货10天不到，手机就开始卡顿，客服不处理退货不给退,1
2,充电器要过10天才发货，出差等着用！,1
2,充电器14天了还没发货,1
2,说好的赠品（充电器）迟迟不发货,1
2,我填分期付款为什么，现在又不是分期呢？,1
3,充电器充电线都没用，那买手机有什么用,1
3,手机到了，充电器呢？？？让怎么用呢？,1
3,还有配件没有一起发买一个手机，两次收货也是服了京东！,1
3,不到半个月掉价200,1
3,商品没问题！问题出在我买了10天发现降价300。还没法追溯。,1
3,催了好多次，充电线一直不给送！,1
3,体验一般，没啥惊喜。续航差点，后悔购买,1
3,手机用了一两小时就发烫。,1
3,买了一个月就多点触控失灵了&hellip;&hellip;,1
3,手机都没电了，充电器都还没发货。,1
4,价格太贵了，不能??&zwj;♂?差价。我要补差价\n我要补差价我要补差价,1
4,今天刚拿到货才拍一个视频手机就发热不建议购买,1
4,送的充电器4天了还没发货！以前的又充不进去电,1
4,代电时间短，机身发烫,1
4,手机充电口有破损，一次也没有充过电，就有小瑕疵,1
4,今天刚买的手机，拆开包装发现开不了机，充电也没有反应，请问这是什么原因,1
4,听专卖店说这款手机有问题，专卖店：不卖，只在网上卖，买了之后七天降价两次,1
4,手机发热一会就没电了，有可能是翻新机,1
4,差的要死，没买1天掉价100，也不补差价,1
4,游戏不能打视频不能看，手机玩一下就烫的不得了,1
5,反应比较慢，体验不太好,1
5,没到半个月，微信会闪退啊。。,1
5,刚买来就降价了，手机容易发热，感觉不值这个价,1
5,打游戏烫手，并且电池也不耐用,1
5,感觉66W快充还没有以前的快，p30都比他充电快,1
5,换的货半个月了 也不知道哪里去了 还没处理,1
5,背面有黑色瑕疵，做工不咋地,1
5,不配充电器，不考虑客户感受。,1
5,手机表面有划伤，有时候会有卡顿，这次后续比较失望,1
5,不是黑你，买回来第一天就卡顿，怀疑买到翻新机了,1
6,打电话时出现照片或视频，挡住屏幕,1
6,新手机充电，机身发烫,1
6,看秒杀活动买，秒杀完就降价，保价居然赠品占差价的一半不保,1
6,这是什么破手机，一天充电无数次电池不耐用,1
6,手机卡顿，怀疑是翻新机,1
6,电池不耐用，卡顿，发热是真的,1
6,刚到手7天就掉100元。呵呵。,1
6,手机不好用新手机就卡，照相效果也不好,1
6,***的东西就不要买了。售后没保障,1
6,客服人员素质低，申请改地址没给我改，要求重发还得流程，浪费时间，不要了。,1
7,没有充电器请在页面醒目标示,1
7,唉，没想到啊，用半小时，手机就发热，,1
7,伤心，手机电不耐用，差点意思,1
7,从来没有用过这么卡的华为手机，能卡成砖头！不建议买p系列，,1
7,手机不带数据线，手机到了两天了数据线还没发货，这是什么神操作,1
7,没有充电线一点不完美,1
7,充电器不配置都不明确告知！！！,1
7,手机电池不抗用，一天充三次电,1
7,指纹解锁不好使，按半天，不带动的。,1
7,烫手，鸡蛋打屏幕上能成荷包蛋,1
8,像翻新机，电池不蓄电。客服也不回复,1
8,网络都是在转圈圈中，,1
8,用的第九天，卡到爆炸,1
8,电池用电好快新手机打两个电话就没电了,1
8,送货不准时，客服人员也**是听不明白也说不明白,1
8,减配到连充电线都不配了！,1
8,上周买的，这周就降价200。,1
8,手机数据线，充电器都没有给，让我怎么办呢？手机怎么使用,1
8,充电器、耳机都没有，还真的是买手机,1
8,没有充电器，谨慎购买,1
9,晚上充满电，下午四点就没电了,1
9,打电话还好，一到视频什么的都没有声音。,1
9,手机发热  有时还卡机 第一次买体验不怎么好,1
9,怎么就不支持投屏功能呢？之前用的华为p40都可以，换了这个就不行了,1
9,一部烂手机，等了快一个多月，真不错！,1
9,手机收到，充电器还需要十天，难道这十天我不用充电吗？,1
9,店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物,1
9,居然学苹果的抠搜不给充电器,1
9,拍照效果：第一次看到4500买的手机像素那么差的,1
9,拍照多开几分钟会卡，拍不了照片，什么鬼,1
10,不知道咋回事，新机子满电没咋用都用不了一天，有时还有卡顿，有没有解释。,1
10,想着支持国产，但从没试过买手机没有充电线的，买回来没电了丢在那当砖头？,1
10,除了手机就是手机，啥都不送，充电器都没有,1
10,这款手机真的不怎么样，用一会发烫，带电时间还短。,1
