index,comments,score
0,今年下半年最时尚的外观！华为p系列一直都是颜控。屏幕观感不错，直屏也不容易碎。鸿蒙系统加持，流畅运行杠杠滴！电池用一天没问题。有快充也不用担心续航问题。辨识度特别高，非常喜欢，手机拿在手里小伙伴们都投来羡慕的眼光，这条街最靓的仔就是我。直屏我喜欢，正面屏幕四个黑边等宽，大小适中，背面万象双环摄像头辨识度高；虽说是国产屏，但屏幕素质非常高，看着舒服；拍照素质也是吊打我用过的任何一个手机；还有就是系统，90hz刷新率再有鸿蒙加持真的特别流畅啊从没用过这么流畅的手机以及各种操作逻辑真的设计的非常人性化。外观很漂亮，摄像头非常好看，拍照非常清楚，真实还原了外景。现在华为很不容易，要挺住，p系列是我心目中的最佳手机，手机拍照才是最常用的。非常喜欢P50的外观，大气上档次，对比我的P40来看，做工、设计有了相当不错的提升，尤其是前置摄像头又回归了经典位置，使用手感舒适，系统操作流畅，一如即往的选择华为，支持国货。,5
0,一直想换部手机，犹豫了很久，也对比看了很多款手机，听说华为出了P50，看了就喜欢上了这款，颜值真的很高，买之前一直看评价怕踩雷，有说发烫厉害有说很卡的，还有说续航好差，犹豫了很久很久，好久天，后来看了其他款真的看不上了，就觉得这款手机颜值好看，然后买了，京东派送很快，下午买的第二天一早就到了，拿到货真的好激动，这颜值真的绝绝子，白色好的超合适女生而且续航也没有说的那么差，电也够用，刚开始是有点发烫，听说刚开始激活是这样的，后来也没有很烫 天气热什么手机都会发烫的啦，然后就是像素真的巨好巨清晰，绝绝子！我好爱???\n外形外观：颜值高，绝绝子。\n拍照效果：拍照很清晰\n运行速度：很快,5
0,手机非常好，运行速度快，外观漂亮，屏幕清晰，双扬声器音质也非常不错，之前买了华为最新的平板，可以配合使用，鸿蒙系统很流畅,5
0,期待了好久的手机，等了好几个月才买到，开车好几十公里去拿的手机，抢到了金色真好看，收到之后很惊艳，真的很漂亮，特别喜欢！屏幕音效很不错，拍照也好看，运行超快！,5
0,今天我的P50终于到了，直面屏很喜欢 ，手机很轻戴上送的手机套才201克，手感不错，选的可可茶金，好像不是玻璃的，不沾指纹，很好    一切都是我喜欢的样子，华为加油,5
0,等了大半年，终于买到标准版。\n外形外观：大气、漂亮\n屏幕音效：一如既往的好，nice～\n\n拍照效果：这个就不多做评价，用了就知道。\n运行速度：我是觉得很快，比我淘汰的mate30快。\n\n待机时间：用一阵子再来追评。,5
0,一直都在用华为手机，我用的是华为mate40，网上抢不到，是在实体店买的，P50是给我老婆买的，手机手感非常好，背面是，磨砂材质的，防指纹，手机非常流畅，充电比我的mate40要快，唯一有点可惜是处理器，不是海思麒麟的，总体是非常满意的，支持华为，华为加油。,5
0,屏幕大小很合适，一手适握发信息，两手分握打王者。\n系统确实不错，很干净（内置软件可删除）。\n拍照清晰度分辨率完全够用。\n信号稳定，通话声音清晰。\n相对P40，苹果12Pro Max手感更好。,5
0,手机收到啦，京东发货很快，新机设计很漂亮，手感非常好，白色的看着很有质感，背面磨砂质感，手感很棒，拍照优秀，立体音效很赞，屏幕素质高，色彩鲜艳饱满，鸿蒙系统运行很流畅，最喜欢直屏，配90Hz高刷，体验非常丝滑，支持华为！,5
0,外形外观：相当相当的好看啊！颜值太高了！\n屏幕音效：很不错，超级清晰，音质也贼好！\n拍照效果：这个是p50的强项，拍照很清楚！\n运行速度：超级快啊一点也不卡，太喜欢了！\n待机时间：很长，电池很持久！\n其他特色：很满意，没有缺点，不过发现没耳机孔，还得重新买耳机，也没有充电器也得自己买,5
