index,comments,score
0,官方标配连个耳机都没有的吗,1
0,信号不好，除此之外没有什么毛病了,1
0,取回来第一天就充电不行 体验贼差,1
0,阉割版，不支持隔空手势,1
0,一起配的5G套也不给我,1
0,用起来会有卡顿，而且流水屏会出现断触情况,1
0,手机到了充电器几天了都没发货。,1
0,货都发错了，京东现在品质下降了,1
0,一用就发热，新机卡的厉害,1
0,性价比贼低，电池老热了,1
1,新的怎么这么容易就发热了,1
1,新手机电量下降特别快，不知道什么原因,1
1,我都没拆过，快递箱子也有拆过的痕迹,1
1,刚买了4天就降价了，不合适吧？,1
1,不是很喜欢，以后不来了,1
1,第一次买手机充电线都没有！！人才,1
1,买来就有问题，真的服了，现在已经在售后,1
1,买完就降价了，不能退货，也懒得退了。,1
1,商品是非常不错的，但是刚买完就降价就太坑了吧,1
1,买手机竟然没有充电器，一问就让你退货，华为竟然到今天这个地步,1
2,产品充电器和耳机都木有是不是假货我想退货,1
2,充电真慢还66w快充充满需要1个半小时,1
2,手机打电话断断续续，再也不网购手机了。,1
2,下单的时候不提醒没有充电器，收到货之后就说礼品送完了,1
2,手机才买回来没两个月，就出现发烫的症状,1
2,手机联网差，反应较迟钝,1
2,不建议购买，发烫严重，卡顿。,1
2,没人解答新手机怎么开荒？怎么用呢,1
2,你直接该成为发烧而生算了，烫的手机拿不住。,1
2,怎么电池只能用一天？,1
3,为啥不带充电线和耳机,1
3,买了不到1个月降价500，搞毛线呀！,1
3,充电只能管一天，而且买了没几天就降价,1
3,手机不错，就是京东的价格差距太大了，以后刚过保价就降价,1
3,买了就降价500真是可以,1
3,手机电池有问题，怀疑是二手手机。,1
3,手机电池不行，老是黑屏，怀疑是水货,1
3,说好送充电器，一拖再拖，,1
3,真的卡顿,1
3,保修期外，而且买了2次都是。,1
4,半天不到电池耗完，已换货,1
4,38活动买的6338这才几天5998  狗是真的狗,1
4,所谓的标准款居然没有充电器和数据线,1
4,非常耗电，通病。现在我信了。,1
4,早上充的电，下午就没电了,1
4,一买就降价，气人不，将近6500下的手。,1
4,一买就涨，还不能保价。,1
4,刚买就降价。。。支持国货没得说，但是请不要把国民当猴子,1
4,什么手机 刚刚买的 用20分钟发热,1
4,手机收到几天，充电器还没发货！买来何用！,1
5,手机很易发烫，主要表现在充电时和使用时,1
5,手机收到了，用了几天才来评价，手机很容易发热，,1
5,发热，卡顿，间歇性断流,1
5,只有一个裸机，连充电器、充电线都没有,1
5,买了手机，一直不发充电器，客服也不解决问题，一直敷衍推诿,1
5,新手机的电跟我用了3年的华为p30一样不耐用，哎&hellip;,1
5,一个月不到降了五百\np50pro还不如p30顺滑,1
5,手机有问题，还没用一个月，经常死机。,1
5,刚买一礼拜，过了价保期。。。，直接降500。这就是7488支持4g华为的后果。。,1
5,会经常性发热，还是在不充电的情况下,1
6,手机送的老快了，充电器几天没出仓库门，用爱发电嘛？,1
6,通话中突然听不到声音，不知道是什么原因，该设置的也弄了,1
6,反应有点慢，上网速度感觉跟我之前的旧手机差不多,1
6,感觉不值，反应真慢，不值8580,1
6,这么高端的手机，连一个配送充电器都没有,1
6,看图片之前的晒图有充电器，为啥这个没充电器？,1
6,"P50  PRO  一般般了  没充电线  这么贵的东西，服务一般，用户体验不好,",1
6,发热严重，电池不耐用，没送充电器，外观还好。,1
6,刚买2天，接打电话都烫耳朵，啥也不是，吹的太过了,1
6,手机用起好卡呀，而且很烫,1
7,六千多买个手机竟然都不带充电器，也真是让人醉了,1
7,电池不赖用，准备退货,1
7,支持一下华为，但是总的来说性价比太低,1
7,买个手机都没充电器，提前也没告诉我一声，差,1
7,8000的手机，一天两充，手机电池是什么鬼？,1
7,不没有性价比的机器，退货、退款,1
7,外形外观：为什么我订的是可可茶金给我的是白色的,1
7,不知道是华为技术退步了还是买的是假货，手机信号不好，并且电池不耐用。还不如我用了好多年的p20pro,1
7,没有5G不好玩，退货退款好了,1
7,充电器都没有，买了多少个，就你家没有,1
8,两分钟掉一格电，爱国有代价，买之前先掂量一下吧,1
8,客服不做处理，说让去售后换膜，刚买的新的就去换，谁能接受？啥方案都没有,1
8,买了手机没有送充电器 说是十个工作日补发 一个月了现在还没收到 手机现在已经充不进去店坏了 气死了,1
8,学什么水果，没有冲电器，,1
8,买回来用了十天就黑屏，还开不开机，退回售后检测还说没问题。,1
8,花6000不给充电器。   玩**,1
8,快递送来，是被划开的,1
8,我在京东买过电脑，没出过什么问题，所以我信任京东，这次我给我媳妇买手机，没想到是买来添堵的。,1
8,8月份上市的手机，现在过保了。,1
8,没有保修，没有任何权益，京东自营跟华为官方已经核查第四天了。截止今天还没有任何消息。,1
9,好卡啊，还没我朋友的p40por流畅，切换界面都卡，问客服也没有什么解决的问题。,1
9,用了不到四小时，屏幕花屏闪烁，最后变砖,1
9,电池有问题，满电只用了半天就低于20%了,1
9,4G网络也就算了，还不带充电器，什么都没有，就一个裸机,1
9,这手机经历了什么，盒都压瘪了，而且里面还没有气泡保护膜,1
9,外形外观：双环装饰片容易脱落，一个月维修了三次也没解决,1
9,手机冲电器跟耳机都没有，六千多买个手机，华为我也是醉了，呵呵,1
9,不好用，贴上指纹解锁不能正常使用，不能识别指纹,1
9,外形外观：好看！\n拍照效果：不错！\n其他特色：发烫到可以烫熟了鸡蛋！\n运行速度：挺好！,1
9,明明知道是易碎品，还从1米5的院墙外面把快递扔进院子的水泥地上，京东快递真的提升一下服务质量了。,1
10,那个喇叭放到最大声的时候有点破&hellip; 总体来说不是很好。电也去的快,1
10,手机到了，充电器没到，手机没电了，还要再买充电器，那你送它的意义是什么？？,1
10,刷快手画质就这样，模糊看不清，华为手机呢，这么贵，就这样吗？让人如何相信国产手机，太次了！！,1
10,不知道大家的怎么样，我的到手拍照烫手，不是大家熟悉的发热，简直是可以达到40多度，看视频也发热厉害，不知道用几天会怎么样,1
10,买了三天，去线下旗舰店检测，被说可能翻新机，充电接口明显有松，我建议还是线下买，充电现在只能用原装的新的，旧的都不能用,1
10,第一次买的黑色，用了三四天充电越充越少，直接充不进去了，我的是66w原装充电器，然后换了一个金色，用了两天又充不进去了？？？,1
10,降价太厉害相差五百刚过保价就降价了，坑货\n外形外观：不错\n拍照效果：不错\n运行速度：可以\n待机时间：充电快,1
10,隔空操作骁龙没有麒麟才有，我服，大写的服，要不是旧手机卖了，其它功能还可以，真不想留。下次要看看再买了,1
10,**  没有充电器和耳机  又没明显标明  实体店多200多元  都含有充电器和耳机 而且承诺永久贴膜,1
10,用了这么长时间突然发现没有看到充电器和数据线，这就很迷惑了？？？因为办公室和家里都有充电器和线，就没在意。突然发现确实收货的时候没有看到过。只有我买的手机壳一起。,1
11,第一次碰见这么滑稽的事，因为手机和充电器一起下单，手机到了，充电器没有，手机都没电了问客服客服说用其他旧的充。这个建议我必须狠狠的&ldquo;点赞&rdquo;。好像给我解决了又好像没解决。没有一点用。发自内心的说价格和服务不成正比,1
11,运行速度：运行速度特别慢\n待机时间：一天充两次电\n拍照效果：一般\n屏幕音效：还可以\n外形外观：还可以,1
11,不好，是4G，而且是裸机的价钱，充电线头都没有，也没有感觉升级到哪里去，下次不想在京东买了,1
11,充电除了66w的充电器（并不快），其余的充电器以及充电宝基本充不上电！新手机掉电的速度非常快，早上满格出门，中午就必须要充电，实现了真正的用电焦虑。,1
11,新机到手，就出现屏幕黑色阴影，以及卡顿，触屏失灵的情况，华为品控现在就这样？？？,1
11,刚拿到手机，只是设置手机半个小时，就特别烫，，，第一次用安卓，，，，慢慢习惯，过一段时间再追评吧,1
11,说实话感觉挺一般的，一直对华为P系列没啥好感，要不是自己的mate20pro不停重启需要换主板，想买的新机都没上市，肯定不会买这款手机。充电速度和待机还不如我以前mate20pro，屏幕的灵敏度也一般，有时候点上去没反应。只能说是凑活用吧。,1
11,"一直都是用的华为系列,有一说一，后置摄像头确实强，但是前置摄像头发黄，现在一点也不喜欢 而且网络特别的卡。这个价位 后悔没有搞个5G手机。",1
11,4月底买的华为/HUAWEI P50 Pro，SIM卡通话时断断续续，刚开始还以为是信号不好，但手机信号显示满格，后来将SIM放入苹果7和mate40pro里都没这个问题。同样的地方，同样的SIM卡，这部手机就是断断续续的，其他手机就是好的。正在跟客服沟通，让到华为授权服务中心进行检测，希望能解决问题。,1
11,年度最低性价比手机没错了！\n没有5G，没有充电器，没有数据线,1
12,大家千万看仔细了，这款手机没有5g。等我发现了，都地7天了，人家不给退了。也不送充电器。写的是送完为止。人家小字都说了。怪我没看清 。卖6000多。哪来的勇气。感觉和3000-4000没什么差别。没什么亮点。,1
12,花7000多，连充电器都没有一个。好比去饭店吃饭，只上饭菜，不配?，不是耍流氓嘛！,1
12,昨天买的，今天到了，刚下载这个应用，给我卡的死死的，崩了，就这个页面点不动了，服了,1
12,旧手机三年了电池不行了想换个手机&hellip;结果耗电量比旧手机还夸张&hellip;20分钟掉15%电量，比我三年前的手机掉的还快&hellip;生意做大心就黑了&hellip;正在考虑七天无理由&hellip;,1
12,2分钟掉1%的电&hellip;100%也就是200分钟&hellip;一天充三次电谁也受不了哇&hellip;,1
12,买了这个手机，主要是支持国产支持华为。我平时就是简单正常使用，出现发热，卡顿！申请售后去检修，确实存在问题，后来给我寄了一个新的过来，也比较开心，但是用了一周又出现发热，卡顿，死机的问题。心真好累。外观设计音响都非常好，就是正常使用存在严重的问题。本人不玩网络游戏之类，就是正常使用存在严重问题。(京东承诺180天只换不修，我不清楚具体是华为手机两个新的都存在问题，还是本身又有问题修好给我寄过来)我的要求不高，能正常使用而已。一直很信赖京东的服务。\n运行速度：卡顿\n外形外观：漂亮\n屏幕音效：不错\n拍照效果：可以\n其他特色：发烫，卡顿,1
12,手机到了，挺可以的，没充电器，没插卡针，没膜，没耳机，一个塑料壳一个手机哎，没了，谁不想支持一下国货，我也想，7千多的价买了个砖，9号手机到了，10号20点还得去官网抢充电器，要不然手机没电了还得用雷法充电，可以的,1
12,外形外观：大眼睛，看久了也还顺眼了\n屏幕音效：还好，没有比以前更差\n待机时间：比以前少了，毕竟芯片特点就是能耗大\n其他特色：隔空手势被阉割，要想用就得买7000多的那款\n说真的，也就是觉得华为能跟老美干，以前产品确实不错，才想继续用的，这次买P50pro，真的有种被大公司玩了的感觉。同样P50pro，内存大小还涉及功能变化，内存小的，以前有的功能还被阉割了，也没见给一个功能对比表，估计就是为了让人踩坑的。以为不能通5G，至少在其他功能方面弥补一下消费者，没想到反而阉割功能，诶，别人价格还蹭蹭往上涨了。笑死个人。拍照也没有好到惊艳，这么一看，产品性价比确实太差了。给一颗星都嫌多。,1
12,要说真话吗？\np50pro真的差的很\n这个是骁龙888的，我不知道是所有的p50pro都是出现卡顿反应迟钝还是我这个可能是翻新机，6000元的手机居然如此卡顿，真的是不敢相信，说句真实的它可能还没有我原来的华为p30pro好用，试用期间我真的是想尽一切说服自己，但是真的是不尽人意\n运行速度：的是贼拉，经常卡顿 \n外形外观：毕竟是华为官网的外观应该是没有问题\n屏幕音效：卡顿，音质双音响是要好一些\n拍照效果：拍照没有我想象的那么好，色泽不错，但是不能够自动调焦距，没有想象的好\n待机时间：待机时间还是很短的，三个小时能用50％电量\n其他特色：如果可以我真的不会再选这个手机，不尽人意,1
12,"有一说一，P50后背两个大圆环 越看越好看 辨识度高，金色质感爆炸 我个人很喜欢 ,但2021年花7500买一个4G手机 还他喵8g内存 ,除了脑子有坑之外 我实在理解不了 。可能华为定这么高的价格 就是为了维持产能 不让你们买 减少生产压力 。鸿蒙实际体验下来也就那样 还得需要时间进行优化 现在反正用起来部分软件依然卡顿。风雨过后必将雄起 华为 我永远支持你 但这价位买这手机，脑子确实有坑。比如我。",1
13,发货速度，服务质量太差,1
13,充电器和手机不一起装  差评！,1
13,服务太差，充电器，迟迟没有发货,1
13,刚买就掉价什么意思啊？手机用着也很卡,1
13,再也不会在京东上买手机了，人生第一次差评给京东了,1
13,手机发烫严重，充电越充越少。,1
13,超级卡容易发烫，买了的都后悔,1
13,学人家不送充电线，差评,1
13,指纹录入不敏感。发货速度很慢。,1
13,什么破东西，充电还要充到关机，真的服了,1
14,充电器都不配送，真的差评,1
14,发热严重，发热情况下充不进去电,1
14,经常无缘无故黑屏死机，买过的最后悔的手机,1
14,一买没几天降价五百，厉害厉害，还是苹果保值,1
14,P50Por真是华为里最失败的一款，卡顿的厉害。,1
14,太卡了，卡顿现象太令我失望了?,1
14,一般般，充电太烫  充电也不快,1
14,差评  电量一天都用不到，还这么信任华为手机,1
14,垃圾到了极致，冲着牌子去的，又卡发烫又厉害,1
14,指纹录入不灵敏，体验感极差,1
15,垃圾 买手机不配充电器的,1
15,我买手机收到牛奶，还要评价，评**，垃圾,1
15,买了不到一个月就降了500块钱，想想就很气,1
15,耗电非常快，才四个小时就没电了,1
15,垃圾连个充电器都没有还说什么标配,1
15,手机一点都不好，卡屏幕，跟2手翻新机是的,1
15,包装方式太差\n封口都没封好\n还以为自己买到假货了,1
15,非常垃圾，买来一周就卡顿发烫，劝大家谨慎,1
15,服务太差劲了，充电器都没有，还要单独买，非常不爽。,1
15,续航真的很差一天两充,1
16,覆盖不了镜头，小很多,1
16,再也不在京东买东西了，服务真差，什么也没有。,1
16,客服**，一直机器人回，问啥都不知道垃圾,1
16,文字游戏，忽悠消费者，体验一般,1
16,客服是真的狗    614中奖了   并且订单备注好了  到619跟我说没中奖 没订单    真狗,1
16,"建议大家别买了  客服是真的牛逼  买的时候一个态度  买完另一个态度,！！！?????",1
16,新手机这个反应速度太卡了，就发个群消息都得等5秒，真是醉了,1
