index,comments,score
0,嘻嘻，不错哈，广州仓库发货，第二天就到货了，快递可以哈，总算用上双喇叭了，体验还可以的哈，不错，白色的也好看的呀！嘻嘻，希望4G版能多一些货吧！\n这个设计的曲屏，确实比较好，周边绿纹几乎很少，可以忽略了，很好。\n个人比较满意,5
0,外形外观：用的曲面屏，外观看起来很好看\n屏幕音效：屏幕色彩很亮，但长时间看了不会不舒服\n拍照效果：拍照效果很好，6400万的像素看远方是真清楚\n运行速度：120HZ的刷新率，搭载鸿蒙系统运行速度很流畅\n其他特色：上午下的单，下午物流就到了\n刚刚上手，好多功能没测试，会继续挖掘各种功能,5
0,外形外观：整体很漂亮，颜值相当高。\n屏幕音效：音效还可以吧。\n拍照效果：后置摄像头还是很好的，拍的非常清晰。\n运行速度：运行速度：用了一个多月，目前为止运行速度非常快，毫无卡顿现象。\n待机时间：电池还是挺抗用的，正常使用两天一充电。,5
0,'使用很流畅，拍照效果提升了很多，鸿蒙系统的很多新玩法正在摸索中。,5
0,外形外观：闪光的淡金色很漂亮\n拍照效果：像素高，非常好，比Mate40还要好\n运行速度：速度流畅，一点也不卡\n待机时间：大电量，和Mate40不相上下,5
0,老婆的手机用了两年了，确实该换了，反应很慢，用起来很卡！趁过年，买了这个P50pro，外观漂亮靓丽，曲面屏操作起来很舒服，拍照效果果然名不虚传哈！到现在为止手机都换成type C充电器了，方便了很多！没有充电器略有点小失望，还得花200块钱买充电器&hellip;,5
0,手机很棒，开机也很快，手感很好，支持过长，第一次用华为，很期待它的表现\n屏幕音效：声音很大，音质很棒。\n拍照效果：像素很好，比我想象中要惊艳。\n外形外观：流线型，看着很舒服，摸着更舒服。\n运行速度：很快，至少目前来看。\n待机时间：期待电池的表现。,5
0,外形外观：流线型非常棒，雪域白磨砂般的观感很舒服\n屏幕音效：亮丽，外放音效比我的P30pro更洪亮，比iphone12也清澈。\n拍照效果：不用多说，摄像旗舰。在荣耀展厅看过荣耀的什么特别版200倍变焦，这款pro只有100倍略逊一筹。\n待机时间：有待观察，66w快充不错,5
0,手机很好用，运行速度很快，粉红色的外观看起来年轻显时尚。拍照效果特别棒，可以媲美专业相机啦。电池容量很大，66W的快充真心快充电，基本一天一充即可。我的岳母很喜欢，希望她无论在哪里都开开心心快快乐乐。,5
0,手机非常不错，系统流畅，质量不错，外观很美，总之都很好！拍照性能强悍！棒棒哒！,5
1,手机一直用华为，一分钱一分货，这款手机功能多，信号好，尤其拍照真的牛，外观时尚炫丽，音质很不错，相信华为，支持国货！,5
1,外形外观：时尚感十足\n屏幕音效：双外放扬声器，听歌看电影效果很好\n拍照效果：拍照就不用说了，旗舰机，谁用谁知道\n运行速度：运行流畅，120hz刷新率太舒服了\n待机时间：待机比我的p30pro短一点，不过也够用\n其他特色：中华有为，好不容易有个强势的国产品牌，支持到底,5
1,手机很漂亮，颜值很高。虽然没有5g制式，但影响不大。拍照依然强大，光学算法令人惊讶。虽然骁龙888存在发热现象，但我不玩游戏，感受不强烈。原来需单独购买的199元超级快充充电器居然附带赠送了，颇令人意外。疫情期间，隔天能送达，体验很好，给个赞?,5
1,在京东自营店购买的这款华为手机，次日就到手了。颜色非常正手感特别舒服，拍照效果杠杠的。买的66w充电器，冲电速度特别快，国货的质量也是棒棒哒！,5
1,外形外观：两个大摄像头，很有识别性。\n拍照效果：拍照效果简直绝了，分分钟淘汰苹果plus。。\n运行速度：速度非常快，上网太六了。\n待机时间：一天吧足够了。,5
1,外观漂亮，做工精致，速度快，期待已久的手机。手机屏幕显示清晰，色彩丰富。拍照效果很好，图像清晰，色彩还原不错。纸盒包装，手机完好无损。京东物流很快，快递小哥直接送到家。,5
