index,comments,score
0,用几天就降价，去***,1
0,其他特色：降价这么快，老顾客怎么办呢？,1
0,这是个***服务，商品都退了服务不退。,1
0,屏幕有质量问题，无法退货,1
0,收到货用过的啊表面明显划痕啊,1
0,刚买就降价300，这就是京东,1
0,耳机问题处理半个月了 现在没人联系我了,1
0,虚假保价宣传，下单降价300,1
0,买了一个星期不到就送耳机了这不是变相降价吗？,1
0,差啊屏幕都是带黑点 退换时效慢,1
1,手机有明显使用过的痕迹,1
1,两天降价200块，还不给价格保护。,1
1,降价了还不给退差价，黑,1
1,终于退了退了退了退了~~~~,1
1,机子各方面都没有什么问题，就是降价太厉害了。。。,1
1,手机确实不错，刚买10天掉了600,1
1,京东三星手机主板用一年就坏了！,1
1,售后恐怖  不考虑售后的可以入手,1
1,刚买不到一个月的手机就烧屏了。,1
1,还没用几天就又掉价了，还写的保价呢,1
2,耗电真快两、三分钟都%5了,1
2,京东e卡套餐，e卡却迟迟不发放，总有各种说法,1
2,手机挺不错，刚买没几天就降价了，刚过7天没法保价了。,1
2,其他特色：刚买一天就降价100,1
2,手机收到了，两个字:费电?,1
2,虽然知道会跳水 也不意外 但是您这幅度确实大了点吧,1
2,充电时不时断开不知道为什么,1
2,极其差拼，手机拍照不好，京东服务差，,1
2,左右滑屏有时候还熄屏,1
2,其他特色：官方售后态度不好,1
3,手机出现多个常用程序闪退,1
3,11月8日购买，12月28日收到邮件，说元旦购买可以赠送三星watch，我现在有点想骂人冲动,1
3,警惕下，手机买了。不能退,1
3,不到10天，再降100元，还不保价,1
3,还是去实体店吧，答应的赠品什么都没有，再联系没人搭理你，物流可以。,1
3,什么运气？刚拆包先充电，既然充不进去电。只能申请退货了，郁闷? ??,1
3,为什么我的摄像头晃动的时候里面有声音,1
3,没有退差价，买1O天差100。补回来,1
3,其他特色：客服服务态度差，啥也不是，辣鸡商家,1
3,售后客服像个机器人一样，有问题不解决，就知道给您带来不便，很简单的问题解决不了，不明白设立客服的意义在哪,1
4,刚超过保价服务期限一天，就降价了三百&hellip;&hellip;,1
4,最后一次买三星，质量差到令人发指,1
4,想买的小伙伴   别买哦   说不上那天搞活动   就会花高价买哦,1
4,信号真的差，大家不要买了，真的！移动卡没法上网，客服也不会管你的。,1
4,买完就掉价，还不能申请补差价。谨慎点吧,1
4,一点也不好用，还不让退,1
4,手机不错，客服属于业余，纯属混工资。,1
4,手机反应慢，电池耗电快。,1
