index,comments,score
0,外形外观：三星s21这款手机设计有个性，不走寻常路，是点面结合的典范，色彩搭配和谐，亮金与磨砂紫及3个黑点的对比抢眼悦目。\n屏幕音效：屏幕显示效果很好，艳丽和本色的选择在于自己，滑动流畅。音效比较出色，对于要求不是很高的算是很好了。\n拍照效果：拍照方便，照片清晰靓丽，6400万像素调出拍照方便，效果挺好，占用存储空间也不大。视频拍摄功能强大。\n运行速度：使用流畅顺滑，速度快捷，容易上手。\n待机时间：电池不是太耐用，一日是必需的。还好不玩游戏，不然电量肯定不够。而且也支持无线充电。\n其他特色：容易发烫是正常现象了，高通骁龙888就是有这特性。  京东服务很好，快递速度很快。,5
0,外形外观：超薄 非常漂亮\n拍照效果：非常棒，买的时候犹豫前置，但是有美颜相机很好\n运行速度：嗯\n待机时间：就是电池太差劲了，我平常不玩游戏还一天两充呢?,5
0,用了半个多月了，每天几乎才充三次电。要命了！哎，我还不玩游戏呢,5
0,外形外观：精致漂亮，手感超好\n屏幕音效：屏幕清晰，音质超靓动听，太美了\n拍照效果：照片细腻，30倍变焦好\n运行速度：太快了，不愧是骁龙888,5
0,不错?，速度快，手感好\n外形外观：好看，手感很好，轻巧顺手\n屏幕音效：观感不错，音效超赞\n拍照效果：三星手机的拍照效果一直很好，功能也很强大，无论夜景模式，还是阳光强的时候，拍照效果都是非常棒的\n运行速度：运行速度超快\n待机时间：待机时间很长,5
0,手机颜值完美，运行流畅，那个紫颜色很喜欢，尺寸一手能握，也非常满意。这是一次非常满意的购物。,5
0,外形外观：很好看，拿在手上刚好\n屏幕音效：清晰明亮\n拍照效果：不错\n运行速度：还可以,5
0,外形外观：小而美，手感刚刚好，单手用相当不错\n屏幕音效：同级别1080屏幕，无人能敌，上下双扬声器，外放也是相当震撼，我实体店看过华，米外放，和这个真是没法比\n拍照效果：成像效果不错，比预期稍微差一点\n运行速度：运行还算流畅，偶尔小卡顿\n待机时间：重度使用，早出晚冲，还算满意\n其他特色：为了屏幕和外放下单，没让我失望！oneui刚上手比较繁琐，使用自定义功能习惯后，相当顺手，利大于弊！,5
0,拍照效果：很好，之前的手机拍得很黄，这个好很多\n\n运行速度：快，不卡，nice\n外形外观：紫色还蛮好看的,5
0,非常喜欢，很完美！本人已使用两天，体验感流畅！\n外形外观：紫色高雅时尚感十足，轻薄舒适，每个角度都很完美\n屏幕音效：第二代魔力炫屏色彩鲜艳 分辨率高 清晰度好\n运行速度：8G高通骁龙处理器，运行流畅不卡顿，反应非常灵敏\n其他特色：可反向充电，打开即可给无线充电设备充电续航 方便快捷 科技感足,5
