index,comments,score
0,虚假签收，东西没收到就完成订单。,1
0,"不保价，没几天直降600,再也不在京东上买手机了",1
0,听筒有毛病 经常发语音没有声音,1
0,商品不合适还这么多事儿,1
0,放菜鸟就算服务完成了吗？,1
0,放菜鸟就算服务完成了吗,1
0,外边框有磨损，别的还行。,1
0,谁买谁后悔，不值这个价，手机各种问题,1
0,一分钱一分货，便宜没好货，后悔了,1
0,独家激活不可以七天无理由退货 强迫消费,1
1,高通不亏是火龙 名不虚传,1
1,掉价真是快，且买且珍惜，,1
1,热死了，我感觉可以烙鸡蛋了,1
1,是三星落幕了，还是京东减配了，连数据线都没有logo的,1
1,买一次就后悔   算了,1
1,手机玩游戏看视频手机重启是怎么回事几天的手机,1
1,手机发烫 还没有充电器,1
1,不要买他根本不值得这个价格,1
1,买完两周降价400...然后保价7天...捡到宝了真的是,1
1,经常卡顿，反应速度不及用了很多年的s10,1
2,商品不好容易发热\n不建议购买,1
2,才用了两周，边框掉漆是个什么操作？,1
2,这手机不怎么样  系统一点都不好用,1
2,手机严重发热，我要退机,1
2,没几天就起去泡白边了，不要购买,1
2,用了几天 边角就有点碎了,1
2,刚买完就降价，真有你们的,1
2,这手机有毒，发热发烫严重。,1
2,电池续航一般，手机有点烫手，支持国产,1
2,容易发热，降价过快！拍照反应速度过慢！扫码反应慢！,1
3,塑料后盖，屏幕不清楚，手机发烫和我之前note9比差太多,1
3,二手手机晦气晦气晦气晦气晦气晦气,1
3,续航能力不是一般的差，其它还不错,1
3,充电头都没有还要自己买，也不早说,1
3,膜不是全包边的，且指纹的响应并没有商家说的适配。,1
3,闪屏，开机几分钟就开始烫手，屏幕模糊,1
3,没有想象的好，一般一般。,1
3,开车十几公里拿了一个烂手机,1
3,降价了不说，商品还**下架了，价保也申请不了,1
3,东西非常辣鸡 电量跟水一样往下流 也就老粉丝会买这,1
4,烫手，打几个电话就烫的厉害，甚至觉得自己买了一个暖宝宝,1
4,手机屏幕在阳光下一闪一闪的，很糟心,1
4,真的蠢 买手机不送充电器,1
4,一点人性化都没有,1
4,产品质量存在问题如此明显，所有的回复都是没办法。我丢,1
4,声音卡顿，屏幕触摸不灵敏,1
4,花了几千块的手机既然没有充电器，配件缺私,1
4,耳机也不送啥都没有，续航差的一批,1
4,打游戏发烫还卡死机了,1
4,售后人员不行6月26日开始退货，今天七月5号了还没人来取货，就是拖着不给寄。,1
5,此手机是价格高，质量差,1
5,这个质量是真心的差，以前s6还可以，现在重新用三星，真的是太垃圾,1
5,续航时间短、手机发烫、充电慢，买了个祖宗。,1
5,四月份买的手机，确认是二月份激活的，三星真是个笑话,1
5,这手机掉电快机身发热的很,1
5,s10还用手机膜手机壳送，这s22连耳机都没有了？,1
5,无故发热，还掉漆。。。。。,1
5,收到的新手机，有几分钟就发热。已申请换货！！,1
5,用了一个月居然掉漆了,1
5,买完两天降400呵呵,1
6,真是跳水皇上。短短一个月，吸取教训了。,1
6,跳水皇后不是盖的。?????另外，买了这个手机，你会患上电量焦虑症，随时随地无时无刻不在掉电，日常使用不打游戏，偶尔刷个视频，看个新闻一天两充?。要不是不怎么出差，办公室充电方便，估计充电宝都得备两个。,1
6,电量用很快，一点不耐用一天要冲几次，其他都还好，,1
6,说是30天无忧退换？手机退过去20天了，到现在没有音信了。,1
6,比S10续航还烂，我的第四台盖乐世，到此为止了&hellip;&hellip;,1
6,带电时长差\n刷视频容易发烫，更别提打游戏,1
6,阳光底下屏闪明显，希望得到解答,1
6,经常接不到电话，别人也经常打不通,1
6,掉了漆死不承认，退也不退！,1
6,买手机，没有充电头，,1
7,刚买不到一个星期就降价了  申请价格保护不成功  稀烂,1
7,一个月不到跳水400,1
7,真好，刚买了就降价300,1
7,手机刚使用，电池耗电比我用了三年的P20还快,1
7,这么大的平台6月17日 和618   居然有差价\n那还提前搞个屁活动,1
7,电池不耐用，经常视频电话打不进，拍照难看,1
7,辣鸡手机，不到一个月，脱漆，外放破音,1
7,老黑屏，发语音人家也听不到，关键屏幕时长卡顿,1
7,没有充电器，才比苹果13便宜300，还是买苹果性价比高,1
7,哪个栽种说的正常发热，下个应用都发热发烫，比小米还烫,1
8,与实际买的机型不一致，无法使用指纹,1
8,写错了,1
8,激活要插卡，卡插进去怎么还是没反应？,1
8,京东还是靠谱的，6月5号3599买的，今天降到3499**一百3399就可以买，申请价保退了240。手机目前使用没什么问题，就是打游戏太烫了，基本没法玩。,1
8,手机发热厉害，电池消耗很快，不要买，东西不好用,1
8,真是垃圾，刷个微博手机发烫，非常后悔买这手机了,1
8,产品价格偏贵。反应慢，网络信号不好。运行速度也慢。,1
8,退货中，等待京东快递过来取件，打开包装看到外观有伤痕，感觉翻新机，和我另外一台s22，256g的不一样，奇怪了,1
8,才开机不到三分钟手机就开始发热   唉&hellip;?,1
8,没法充电，没有充电头,1
9,刚买十天就降价了 降价600 还不给保价 考虑好再买,1
9,不好，有点卡，反应迟钝,1
9,充电器和耳机还有手机分开送？没有你往上写什么套装,1
9,电池不行，电量看着掉，激活后退不了，不知道电池这么不耐用，其他都可以,1
9,手机外观漂亮，好看，就是电池不耐用，容易发烫，卡顿，,1
9,一是手机热，第二旧换新迟迟未补贴400元，第三，随便险之类的介绍不详细，服务不行,1
9,这是最后一次买三星手机了,1
9,真的?了开省电模式放那不玩每四分钟没百分之1,1
9,套餐里的充电器看起来并不是三星原装正品充电器，客服除了踢皮球道歉啥也不会，只会一个劲的说我们是正品我们是正品，下次再也不会在京东买手机了，不值得?,1
9,始于屏幕，终于屏幕。,1
10,配套物品几乎没有，没有充电器，没有耳塞，没有手机保护壳,1
10,越南制造，非常拉夸，,1
10,充电头都没有，手机容易发烫，希望大家别买，防患于未然。,1
10,看网上感觉很不错，到手也就那么回事，质感跟苹果没得比。我想退货。,1
10,没用过这么差的手机，信号居然还比不过苹果，各方面都被碾压。,1
10,刷刷视频都烫手，电池掉的哗哗的，还不如我用了一年多的nova7，早知道不换了，后悔。,1
10,手机屏幕真不错，续航是真拉胯，玩游戏的话得帮个充电宝上,1
10,这个手机 闪屏。换新之后还闪屏建议大家谨慎,1
10,手机用的还可以，就是电量的太快了，连带着充电器一起买的，寄过来的充电器是坏的，,1
10,***，数据线两头一样的，让我怎么充电，神经病吧,1
11,"s10以后真的是一代不如一代了,外观手感屏幕都不如S21,价格却跳水一样。",1
11,一肉眼可见的速度掉电，也不知道激活后能不能退,1
11,用了10几天，电池肉眼可见的速度在掉，一天两充，后悔也没办法,1
11,阳光下亮度拉满 在白色界面一直闪屏 已申请售后,1
11,电池不耐用，不打游戏，一天两冲。镜头还有回灰尘，希望180天可换,1
11,相机经常出现卡顿黑屏，导致无法扫码，用了1个多月，已经出现卡顿,1
11,电不耐用，直接看得见走电&hellip;手机充电器什么都没有，买回来还找充电器充&hellip;,1
11,手机本身有划痕，客服推来推去，一点说法没有。建议大家不要购买三星,1
11,刚到货手机就有问题，闪退，卡屏，发烫，耗电快,1
11,标配都没有，充电器给了数据线没有电源，耳机也没有。,1
12,手机什么样不过多评价了因为一直用三星，买多大9.9礼品一个月了不给发，客服回答一回一个样，踢皮球,1
12,以后不会在京东买东西了，太次了,1
12,外观还可以 就是开机不到十分钟就有点微烫了 耗电还快,1
12,手机收到了，试了下手机发热严重看个视频后盖就烫手 而且热的系统卡顿还不如我原来的s8！手机不是正品！找客服也没人回复我怎么解决我要退货！,1
12,以后提醒各位车相信什么保价的事了，有赠品 用优惠都不算 哪怕是张电话卡，才几天而已,1
12,几千块滴手机居然都不配充电头，这个手机充电头跟其他手机充电头不一样还要另外买！,1
12,半个月，降价1390。,1
12,一般般，不好用，人脸识别不灵敏，续航时间段，而且刷视频都烫手,1
12,差评，除了外观好看，大小合适，缺点，耗电快，发热，充电口还易坏。,1
12,中了大奖，换成白色主题，屏幕出现一条线。,1
13,屏幕在阳光下会闪烁，已经申请换货了不清楚后续会如何处理。,1
13,这是退货之前拍的视频，闪烁频率变快以后肉眼是可见的，然而京东售后打电话过来称手机是没有质量问题的，屏幕闪烁是正常现象。这没办法接受，正在准备投诉12315了,1
13,手发热发热发热手机&hellip;而且手机里有什零件脱落，摇的手机里在什响,1
13,不到3个月降了1500,1
13,买之前请确认电池容量，手机会有发烫现象，京东检测说是正常，考虑好在入手,1
13,掉电速度肉眼可见，看会小说热的吓人，体验了个寂寞,1
13,用了这么久，但是还得说句公道话，除了电池短板，别的都很优秀，没有后悔买他,1
13,忠实用户，这个手机真是鸡肋。无充电器，不配置耳机，和之前手机耳机接口不匹配。,1
13,不能装标准版Chrome，只能装beta版的，服了！什么狗屎！？？？??,1
13,外观还可以，比较小巧，但使用感很差，卡卡的，拍照效果也没有想象的好，激活了还不给退，算了留在家里当摆设吧。,1
14,手机收到了，使用还算满意，但值吐槽的就是几大千的手机退化成连充电器都不是标配了，这么大的商家真的是连分分角角钱都要算计消费者，实在不是大厂风范。,1
14,流畅度还可以，就是早上七点时候电量100%到下午两点几天十几个电了，以后要随身带个充电宝了,1
14,一个月没到就掉油漆，发烫，电池不耐用，信号差，网速更差，电话有时还打不进来,1
14,货以收到，4700的手机没有充电头，充电线还是双c口，我就想问问，你叫我怎么充电，有点搞笑,1
14,不要买，不要买，不要买！S3用到S20的老粉给的建议。开机就安了俩APP，手机烫的跟我用了2年的S20没啥区别，**！,1
14,请慎重购买\n拍照效果：不理想\n待机时间：准备好一跳两充\n外形外观：可以,1
14,劝各位不要踏入三星的门，不然你都怎么死的都不知道,1
14,这是在逗我吗？没有充电器就算了，数据线也搞成这样，压根不能用。膜也不送，街上找了一晚上，都没买到膜,1
14,电池确实不行，买了当备用机的，使用率不高，偶尔玩下，掉电很快，还很容易发烫,1
14,名不副实，4388价格可以，发热厉害了些，外观边框是塑料材质。京东自营，掉价掉的厉害,1
15,昨天下午拿到手的，才买着就屏幕失灵了，然后就是机身容易发烫！想退货,1
15,屏幕出了问题，才买不到一个星期，之后打王者帧率给我彪到2，骁龙8gen1带不动王者荣耀,1
