,comments,score
0,运行速度：超级快，不愧是最新高端机，推荐\n外形外观：好好看，白色真的好看\n屏幕音效：炸裂，超爽\n待机时间：一个小时才消耗几格\n拍照效果：挺好的,1
1,用了一个多月了，整体感觉很好，续航能力不错，但没有想象的那么久，性能杠杠的，操作系统没有冗余，广告不多，玩有游戏很流畅，编辑文件那是吊打所有安卓和苹果手机。颜值也非常好。不后悔买三星！,1
2,很喜欢，颜色特别小清新。拍照特别好看，广角拍摄太赞了。对于一个特别喜欢拍照的我来说，简直不要太喜欢。很nice，一如既往的支持。运行速度很快，13的处理器。外形设计很漂亮。期待新作品。,1
3,京东耍猴，十几天才发货,0
4,618活动买的，心水很久了\n尺寸和重量都合适，属于小屏党的心头好。\n屏下指纹解锁特别方便，配合售后的菲林膜解锁速度依旧很快。\n不打游戏，骁龙8gen1和3700毫安的电池基本够用，一天一充不会很麻烦，发热也可以，不算严重。,1
5,哇哦，太漂亮了吧也，拿在手里非常有质感，屏幕很清晰，音效也很棒，拍照效果很好，运行速度嗖嗖的，待机时间非常长，感谢京东带来如此美好的购物体验，赶上价格非常美丽，赶紧换新，发货快，送货及时，客服态度好，快递小哥认真负责！,1
6,外形外观：宽窄长短都很好，正合适。\n屏幕音效：曲面屏一开始不习惯，使用几天以后，发现比之前的更灵敏，简便，越来越喜欢这个屏幕\n拍照效果：对我这个不爱拍照的人来说，都可以\n运行速度：不爱打游戏，上网看看视频之类够用了\n待机时间：耗电快，但是充电也快，一天充一次吧,1
7,外形外观：大气时尚 \n屏幕音效：屏幕没的说 机皇不是白叫的\n拍照效果：拍张效果很好 激光对焦很快\n运行速度：运行速度快,1
8,充电器都能给我送没了吗？,0
9,买来用了几天语音助手就坏了,0
10,拍视频又卡又闪，醉了,0
11,物品好，物流快，最后一个环节出问题了！所以最最最差评,0
12,做工真差，摄像头边框的漆才7个月就已经掉落。指甲一挂掉一大片。,0
13,手机差异太大，网上买东西真不靠谱，你们还是看好了，,0
14,说给耳机到现在一直没有发货，不讲信用,0
15,此用户未填写评价内容,0
16,外形外观：紅米K50 Pro的外觀在背蓋質感较佳，墨羽色 為橄榄陨石紋理，廣著不同角度會有各種折射光，滿特别 的。 中框材質燕塑膠，質感和觸感有明顯的廉價感，這部份满 可惜的，若為鲳镁合金或是不锈鋼材質较有旗艦機的質 感。 SIM卡槽退卡孔與收音孔位置太近，容易混淆，一開始退 卡針還插到收音孔。 屏幕音效：屏幕為三星OLED 2 K屏，顯示效果非常好， 眼睛看起來也舒服，刷新率120Hz也满流暢的，觸控可達 480Hz實際操作起來滿靈敏的；喇叭燕實體雙喇叭（位 置非對穰），有支援Dolby A**os音效，慰起來音質不 錯，聲音大小設定超過中間才會有外放大聲的感覺，整體 音效比我原本的K30至尊紀念版好满多的。 拍照效果：拍照效果不錯，相機鏡頭為三星S5KHM2一億 畫素加上光學防抖，照片的解析度非常高，光學防抖也可 加強拍照成功率；尚未测試夜拍效果，感光元件尺寸大應 該成像效果也不錯 运行速度：系統流暢度较佳，執行程式速度滿快的，游崴 載入速度也非常快；安兔兔跑分燕93萬多分，與發表會 上的100多萬分有差距，期待優化後能蒟更加流暢以及更 高分。 其化特色：手感鞑佳，與我原本的K30,1
17,快递一天到货OK。手机在用暂时没有问题，降价太快感觉不保值。你过段时间再降也好，一天同一商铺同一商品降*也没谁了。现在~等平台好多活动价格更便宜,0
18,截图都在没有虚报,0
19,手机壳非常好，透光性极强，连接处严丝合缝，一分钱一分货，绝对给力。,1
20,我在网上看手机性能是可以的用了一短时间发现有很多问题，因为过了7天所以送去换货好几天了已经，还没有送回来，真的是没办法说,0
21,618买的，一周不到618没过去，降了390元，而且各种app全是广告推送，还关不掉。也容易闪退，系统使用感特别差劲，非常不建议购买。,0
22,外形外观：外观非常时尚，手机很薄，曲面屏拿在手里手感很好\n屏幕音效：屏幕分辨率很高，画质细腻\n拍照效果：变焦多，像素高，有很多个性化的功能,1
23,早知道买别的手机。体验感差,0
24,一直是华为的忠实粉丝，买不到mate这个也挺好的，外观好看，手感也不错，性能更不必说，支持国货，支持华为，我很喜欢,1
25,昨天收到手机今天体验了一天，非常喜欢。手感很棒，单手可握，大小正合适，颜色也非常喜欢，蓝色真的很好看啊,1
26,买十来天跳水300不保价?,0
27,外形外观：星光色好看好看好看\n屏幕音效：最好的屏幕\n拍照效果：拍照效果很好\n运行速度：A15无人能敌\n待机时间：比12提升巨大\n其他特色：一个字，好！,1
28,手机很好，很不错，特意用了几天才来评价。正品没问题，外形好看，手感好，运行很流畅，耗电量也能接受，不错。值得购买，哦，忘了说，拍照一流！！！,1
29,"1Q00NEO5真的香,哈哈~入手的是云影蓝,这个颜色很漂亮,耐看,个人非常喜欢!机身很有质感,手感也很好,而且还不粘指纹,非常 nice !6.62英寸的屏幕追剧舒适,拍照也很赞,随拍!因为喜欢拍照片，像素各方面研究很久才决定入手的，拍出来的相片超赞，后置拍景拍人都不失真，自拍简直不要太好看哈哈，美妆模式让我随手素颜也能出片!续航方面,刷视频看小说一天下来绰绰有余,而且66w的充电巨快，我一般在20%左右开始充电，半小时就满了,日常使用一天一充就足够了!",1
30,很漂亮，很喜欢，质感可以，边框比上一代给力，看评测温度控制的还不错，好好好好好好66666666666623333333333333,1
