index,comments,score
0,我就想问这个角为啥磕进去了,1
0,真服了，新手机送过来，我传数据居然卡了,1
0,差评是给快递员的，手机不错,1
0,我不知道怎么说的 ，哎 ，火龙称号名不虚传,1
0,耳机也不送，赠品一点没有,1
0,第一台 超广角偏了 第二台微云台偏了,1
0,没有赠品 说送耳机，其实没有,1
0,手机到手没多少天就出现屏幕花屏极差,1
0,aqq分身桌面显示不出来，准备退货,1
0,买了刚过保价期，活动就便宜三百块。,1
1,官方标配降价教育优惠不降价？,1
1,就还行吧，感觉散热可以做的更好,1
1,**，说好的赠品两个月都没看到,1
1,外包装损坏，手机盒破了好几个角,1
1,才买半个月降价两百，没话说了,1
1,没耳机\n说送耳机没有送,1
1,啥也不是，刚买价格就下，调服了呀????,1
1,客服差价补上了，太好了没想到爱了爱了,1
1,为什么没耳机，没耳机，不如去实体店买,1
1,刚买几天就降价、能不能给个说法,1
2,手机经常没信号    断网是经常,1
2,边下王者边充电烫手啊，散热还是需要大更,1
2,触屏偶尔不灵敏，还不能换货，售后不行,1
2,送的耳机还不发货，一号买的五天了,1
2,买了半个月不到降价300块的大冤种,1
2,不建议大家买手机发热的厉害都感觉烫,1
2,玩王者误触。没啥好说的,1
2,这火龙是真的烫，打游戏也就一般般，**无奇。,1
2,打游戏时经常卡顿，手写不流畅,1
2,手机真的不值得这个价格，感觉还不如一千多的用的流畅,1
3,刚买就降价。也不给保价,1
3,不咋样，手机生产日期太早了，库存机,1
3,反正就是清库存嘛，买不到今年2月以后的货了,1
3,屏幕不行，申请退货，还有疫情唉，,1
3,库存机，#，12315不会撤诉，,1
3,说送双肩包，都两星期了还不发货,1
3,一个月不到，降价四百多。吐了。。。,1
3,京东想干什么，手机换货为什么不处理？,1
3,客服比较能忽悠手机还是不错的，,1
3,才买几天又降价了，不满意,1
4,其他都挺满意  就是屏幕经常点不动失灵  退货了 失败告终,1
4,最差手机玩一会都烫手,1
4,啥也不是都盖不住手机屏，服了,1
4,为什么买过来到手是0%的电,1
4,手机都是我自己上京东门去拿的，态度也不好，也不知道这手机本身会不会也像这样的服务，不靠谱,1
4,前脚买后脚就降价不建议购买,1
4,充电发热，电量不够用,1
4,没有赠送蓝牙耳机,1
4,我是中奖了吗，黑屏2次了。,1
4,玩了没俩月玩一会手机就烫手,1
5,怎么说呢，刚买一天，就降了200，平台真会玩儿。一直挺相信京东的。,1
5,快递外包装没有破损 里面商品拆开就这样  客服和我说是物流造成的 物流隔空照成？,1
5,为什么才两个月就不能快充了,1
5,新手机电都没有，开机都开不了,1
5,为啥120瓦充电一个小时左右,1
5,电不怎么经用     没干什么就没电了,1
5,还没用到两月，就黑屏,1
5,用了十几天，莫名其妙的死机,1
5,买来没几个星期就出现问题,1
5,指纹还能被别人轻易解开,1
6,还行吧，买来没有一个月就降价300多,1
6,为什么快递不按我的地址送，还有不要放到自提点,1
6,买个手机推销这推销那的,1
6,充电快，耗电也快，百分之五十的电不够两小时,1
6,还没用，后盖就碎了，还不给修,1
6,就在本地发货，我等了两天，再也不信次日达了,1
6,不过客服还是很耐心的。并且做了一定补偿,1
6,防护方面不到位，\n到手的时候，手机盒已经烂了,1
6,我颜色明明是选燃色，,1
6,触屏有延迟，偶尔触屏不灵。感觉是二手,1
7,千万不要在京东买东西，京东客服直接推诿,1
7,扬声器有一只有问题，有沙沙的声音。,1
7,说好的整点下单有赠品    都现在还没送  问也白问,1
7,充电是快，用的也非常快,1
7,别的不想说，快递是真的慢，省内几十公里硬是要跑两天,1
7,屏幕拉跨，手机热热，随时都是微烫状态，,1
7,给一星就是因为快递配送送错站，急需使用的手机物流不给力，第一次碰到京东快递这么拉胯???手机还可以,1
7,刚买一个月，就出现了卡死机的情况。,1
7,送的耳机，手机到了好几天了都没发货，别人同一时间买的有的送了手表,1
7,电池带电不咋的，打游戏还卡住,1
8,手机不行，刚好不到一个月，经常卡顿,1
8,手机用了一个月就有卡顿和死机现象,1
8,礼盒发回去了，告诉我换不了，发回来之后都是坏的，补发也不给补发，谁愿意买个坏的回家？,1
8,龟速送货，电池使用消耗和充电一样快。,1
8,不是说赠送耳机的吗？为什么我没收到？,1
8,我去，这才多久啊？前摄像机坏了。,1
8,2号收到手机，现在15号赠品都没发货，还能在墨迹点么,1
8,19号了赠品还没发，有没有谱,1
8,才用了不到10天，音量就不受控制，自动变小了,1
8,收到货时，盒子已被压坏压开，没有看见耳机,1
9,玩王者普攻件断处，真不咋样,1
9,其他特色：买了半个月屏幕就出现这种情况,1
9,破手机，总是自动关机重启,1
9,第一次买vivo手机，很失望，用差不多一个月，总是自动重启，有时看微信也会，打游戏也会，打电话也会，什么垃圾手机。,1
9,电池垃圾到家 不玩游戏 聊聊微信 都扛不住一天,1
9,买来半个月不到现在开始掉价了估计再过一个星期又得降价，服了三千买的,1
9,屏幕音效：屏幕分辨率是真的差。,1
9,看看这开口  我真的服了,1
9,其他特色：异常耗电，不玩还掉点,1
9,手机卡顿  听歌音杂  游戏界面总比别人慢一拍,1
10,摄像头进灰，退来退去麻烦，只能硬着头皮用了,1
10,打王者好卡，一卡一顿的,1
10,这个手机不是特别好，建议大家还是别买，,1
10,7代保值换新就换了个这？8代也算旗舰换代？坑的一箩筐,1
10,这手机三千处理有人要吗？7代到8代有什么质变？cpu没变，屏幕降质，电池微变，最大变化就是加了独显，马达加强。谁家的换代旗舰敢这么玩，保值换新坑死了，4199真后悔。,1
10,屏幕有划痕，很明显就是好多人看过的手机。,1
