index,comments,score
0,iqoo9锋芒版外观设计漂亮，手感很好，后盖磨砂质感很好，屏幕显示清晰细腻，不刺眼，立体双扬声器音质清晰透彻，拍照效果很好，夜景模式拍出来也很满意，手机运行流畅大型游戏玩着很爽，整体待机时间时间不错，比较满意！,5
0,挺不错的 系统流畅 直面屏一万个好评 震动马达也很好  第一次用IQOO 挺有好感 下个手机应该会继续换IQOO,5
0,IQOO9传奇版12+256g\n外形外观：配色还是一如既往的炫酷，后置摄像头看久了还挺顺眼\n屏幕音效：E5超视网膜屏很清晰，上下双扬声器听歌很好\n拍照效果：拍照很清楚\n运行速度：网络稳定的话，打王者几个小时不卡不掉帧\n待机时间：一个晚上掉电在百分之二左右，电量用完十几分钟能充满，续航杠杠的\n指纹解锁的话贴了钢化膜重新录一次指纹解锁也很快,5
0,VivoiQOO98G+256GB赛道版，E5超网膜屏全新一代骁龙8，120W超快闪充，5G全网通\n外形外观：很新颖时尚大方\n屏幕音效：三星5E级别，双扬声器\n拍照效果：超大视野冲出，很清晰\n运行速度：全新一代骁龙8处理器，加上5G网络，飞快速\n待机时间：还可以接受\n其他特色：6.78英寸，2D柔性直屏，超声波3D广域指纹，独显芯片，120W超快闪充，送一份入耳式耳机,5
0,外形外观：很完美\n屏幕音效：应该说也很完美，但是指纹解锁失败的时候屏幕左手边会显示一颗亮点，不知道是不是屏幕坏点\n拍照效果：可以，三星传感器可以\n运行速度：杠杠的\n待机时间：待机不用的话很省电\n其他特色：外观设计很个性,5
0,物流很快，包装盒完整。买这个就为了玩原神，很流畅，如果追求高画质的也可以，一定要打开补帧模式，玩久了也发烫，个人感觉还可以接受。然后就是这120W的充电器，以肉眼可见的速度增长！上号！,5
0,手机收到了非常好非常完美\n外形外观：精致风格大气上档次在朋友面前非常有面子\n屏幕音效：声音特别大音质清晰无杂，音还有信息跑马灯炫酷无比\n拍照效果：特别的清晰见不到一点模糊，找不出对自己不满意的地方非常棒\n运行速度：特别的快怎\n待机时间：待机时间特别的长你想玩游戏几个小时电量非常足\n其他特色：屏幕接触灵敏度非常高而且内存非常大你想怎么下足足有余空间价格实惠值得拥有一部好手机。,5
0,iqoo老粉。从iQOO7到iQOO9，从来就没让我失望，在性能方面以及系统都升级了，对隐私方面更加注重了。充电速度超快，颜值也更高了。玩游戏顺畅，但也带来了一些发热，目前可以接受。,5
0,外形外观：大气拿在手里很有份量，有辨识度\n屏幕音效：三星E5不是盖的，色彩艳丽，显示清晰\n拍照效果：清晰\n运行速度：8+256对我来说已经够了，速度也快\n待机时间：4700电池一天没问题\n其他特色：120W快充太速度了,5
0,手机收到了，质量很好，外观大气，屏幕非常舒服，非常满意的购物。\n外形外观：非常耐看\n屏幕音效：屏幕非常好\n拍照效果：够用\n运行速度：飞快一点都不卡,5
1,外形外观：外形真心不错，特别好看！很大气\n\n屏幕音效：3D震撼音效，外放真心不错，很好听！\n拍照效果：拍照特别清晰，还能自动调节光线，摄像功能强大！\n运行速度：运行速度超级震撼，非常喜欢！,5
1,外形外观：外观还是没得说的，颜值可以。\n屏幕音效：屏幕很nice，颜色很鲜艳，非常漂亮\n拍照效果：拍照很清晰，没毛病\n运行速度：运行速度也很快，\n待机时间：一天吧，打游戏不行\n其他特色：没有发现过热的情况，打王者没必要达到发热的状态,5
1,手机今天刚到，京东快递速度超赞，昨天晚上下单，今天上午就到了，手机很喜欢，手感好，比我之前用的iqoo neo流畅多了！！,5
1,非常喜欢！太棒了！之前一直在用小米6，也是资深钉子户了！买手机就一点，首选旗舰机型。流畅，丝滑，感觉很好，之前一直纠结小米12和iqoo9，因为直切屏幕体验很好，最终选择9，目前来看，各方面非常满意。,5
1,晚上下单第二天下午到货，京东快递很给力，手机使用非常方便，解锁灵敏度很高，听歌音质很好，还没玩游戏到时再追评。,5
1,高端经典神器，骁龙全新一代处理器，速度快到起飞，打开包装惊艳的手机外表，旗舰机做工没得说，传奇版背面整体洁白搭配精简彩条，看着很舒服。自营旗舰店质量有保障，我也算是个v粉，自己和家人用的手机都是在京东旗舰店买的。以前那几部手机都是当时的旗舰机，现在的iqoo9给我更高端的惊讶，这手机帅呆了,5
1,外形外观：好看\n屏幕音效：双扬声器音质很好\n拍照效果：清晰\n运行速度：非常快很丝滑\n待机时间：充电起飞半小时不到就满电,5
1,手机屏幕比较大，屏幕色彩非常艳丽，看视频打游戏观感很好，手机比较薄，重量适中，不会沉，屏幕120hz打王者、火影、和平精英这些游戏都非常流畅，拍照效果也很好，握持手感很棒，包装盒齐全，充电速度非常快。,5
1,包装挺别致，手机大小合适，外观好看，后盖不留指纹，屏幕看起来很舒服，高帧运行游戏运行非常流畅，散热很好。电量秒冲，10几分钟从20%充满，超赞我！,5
1,外形外观：很轻薄，外观也很有特点\n屏幕音效：屏幕显示效果很好，最新e5屏幕\n拍照效果：拍照也很不错\n运行速度：12+512，还有扩展内存技术\n待机时间：大电池，续航很不错,5
2,外形外观：外观很有设计感  适合年轻人使用 \n拍照效果：拍照特别清楚  防抖很厉害\n运行速度：运行速度很快 嗖嗖滴\n待机时间：充电快  充一次能用一天,5
2,外形外观：很酷\n屏幕音效：显示效果好，上面下面都有喇叭，外放音质很好，手拿着也不会挡着喇叭\n拍照效果：还不错\n待机时间：可以\n运行速度：很好,5
2,使用了得有半个多月了，很流畅，充电超级快，我爱了(?&deg;з&deg;)-?,5
2,第一时间入手，等快递心急如焚啊，看到到了站点第一时间打车拿的，开机第一时间来好评。\n\n对比iqoo8大了一圈，摄像头相当有辨识度了，使用体验后续追评,5
2,送老公的新年礼物，他喜欢打打游戏，手机运行速度及拍照效果都不错，外观颜值很耐看，老公很喜欢。,5
2,外形外观：外观非常好看\n屏幕音效：屏幕也挺不错\n拍照效果：好\n其他特色：玻璃后盖我是最喜欢的。不是塑料材质\n待机时间：还没有测试，120瓦快充也不在意待机时间了,5
2,手机已经收到，配色非常好看，颜值很高，非常精致拿在手上有一种高级感。性能很强大系统流畅，玩王者一天下来帧数很稳定。拍照效果也比上一代有了明显提升。\n运行速度：很快,5
2,造型新颖，单手掌控也轻松自如，拍照效果显著，系统也很流畅，总体来说，是性价比高的一款手机。,5
2,挺漂亮的手机，背后触感很好。特别满意这个屏幕，DC效果好，颜色正。说下缺憾:边框哑光铝质感比较一般，倒角还硌手，不如抛光小圆边来的舒服。,5
2,外观好看，速度很快，拍照也很不错，很喜欢，充电头有点大，充电速度非常好。,5
3,物流非常快第二天就到了，手机外观和图片一模一样非常好看，打开手机盒里面还有一张宝马的卡片超酷，手机运行非常流畅，特有的游戏空间使用起来也很好，手机充电是真的快，快充十五分钟就满了，放着一会就满了真的太棒了,5
3,真的是爱了 从iqoo5调到iqoo9一点也没有让我失望 大爱啊 这摄像头模组是真心喜欢辨识度很高 屏幕很清晰 主要是直屏 贴膜不会有白边 真好,5
3,外形外观：非常酷，爱了爱了\n屏幕音效：三星零售顶级屏T1，色彩鲜艳亮丽\n拍照效果：像素很好，成像不错\n运行速度：快，爱不释手\n待机时间：续航很久\n其他特色：这背面太酷了，非常喜欢,5
3,买这个手机最心动的一点：120w快充，19分钟满电！快男般的爽快?（之前一直用S星水果旗舰，第一次感受到刷个牙出来，满电了。。。）\n第二个心动点是：新系统Oringin Os Ocean，很漂亮，自定义程度很高！智能刷新率没有S星那么爽快（可以自己设置全局120，但我感觉不需要），不过续航好很多！ \n还有振动真的是在振动,5
3,从iqoo7换购来的，买过三款IQOO产品都不错，非常好的产品，设计不错，堆料很足具体能发挥出多少没有测试，很喜欢这种直屏，比2.5D还平的屏幕更适合玩游戏，柔中带刚，屏幕够大手感也挺好。,5
3,疫情情况下，物流很给力，\n外形外观：特别漂亮，这个颜色还是挺靓的，完美。\n屏幕音效：非常喜欢\n拍照效果：效果不错，非常满意，够用。\n运行速度：不卡顿，特顺畅。\n其他特色：其他特色：相当 不错的一款手机,5
3,IQOO9 12+256g 后壳是玻璃的，手感很好。\n钢化膜还没到不敢撕出厂膜，指纹解锁很快。\n打游戏不卡，扬声器的话还可以，摄像头拍照很清晰。\n20分钟以内充满电，续航可以，一个晚上掉电1%左右。\n京东快递很快，早上下单下午就到了,5
3,iQOO是vivo打造的游戏性能手机。\n       外观：白色基调搭配红黑蓝条纹，简约中带有运动气息，摄像头采用长方形布局显得大气。\n      配置：采用全新一代骁龙8处理器，提高运算能力的同时降低功耗，有效避免888处理器发热严重的问题，搭配满血版内存，跑分近百万。后置一亿像素，拍照清晰。120W快充，充电速度杠杠的。\n      使用体验：手机运行非常流畅，打开软件速度很快，充电速度快20%到100%就十几分钟。充电时手机发热，平时使用很少发热。,5
3,外形外观：经典款，经久不衰\n屏幕音效：非常好\n拍照效果：不错，够用\n运行速度：很快，王者荣耀不掉链，独立显卡很给力\n待机时间：还好，不过有120W充电器，给力！,5
