index,comments,score
0,不是送耳机吗怎么没有,1
0,卡托弹不出来是怎么回事,1
0,赠送的耳机一直不发货,1
0,蓝牙不能连接魔音的耳机，吐了,1
0,主页说的送东西什么也没有,1
0,有点卡顿 说好的送耳机没给,1
0,其他特色：、 价格保护、形同虚设,1
0,耳机也不知道送不送   一直不发货,1
0,买了三天就降价一百多，呵呵,1
0,9号下单，13号才发货、还没耳机送,1
1,耳机呢 三天了还没发货,1
1,过了几天无手机可用的日子，快递了四天,1
1,不送耳机后面又送耳机。服了。,1
1,跟客服反yin了一下，很高兴的给我补发了一个。爱了爱了。,1
1,连无线网竟然还没信号,1
1,耳机都没有\n其他特色：可以就是没耳机,1
1,手机无法闪充，没有人工客服，,1
1,手机下面用一段时间就有异响了,1
1,说好的有耳机和蓝牙音箱送结果毛都没有,1
1,二十不到就降价，套路深,1
2,等过会再来补评，先试试,1
2,垃圾，真的垃圾，退货客服不退钱，一直在找借口，什么物流要运六天还没运到啊，追问还拉黑我，态度真恶劣，已经打12315了,1
2,说好赠送耳机也没有给,1
2,用了6天塑料中框4个角的接缝就出来了。,1
2,您没有填写内容，默认好评,1
2,耳机什么都没有了退了,1
2,您没有填写内容，默认好评,1
2,为什么手机耗电那么大？,1
2,不是说送耳机吗？怎么没有？,1
2,发货慢，耗电快，达不到30分钟满电。,1
3,手机收到后装卡无服务，换货后，赠品没有了,1
3,音效:Noe5 外放音杂，申请退货了。,1
3,刚买没几天就降价了，还不保价，真的服了,1
3,到手是破损机嗷，要买的都小心点吧,1
3,有没有摘错了，要黑影夜，发个蓝色过来，要求退货,1
3,晚上关灯能能把眼给看瞎了,1
3,您没有填写内容，默认好评,1
3,手机用三个月左右扫码有时摄像头黑屏，打游戏卡断,1
3,手机不错但系统过于辣鸡,1
3,不送耳机就算了，还**耳机转接口都没有***,1
4,在活动期间买手机，没有耳机。,1
4,耳机也没带，vivo官网上带耳机,1
4,手机可以但是送的耳机怎么还没到，烦躁。,1
4,"客服有关价保一事说得不清楚,害我没了一百块",1
4,说实话同等价没有华为好用，没有华功能多,1
4,续航差，赠送的耳机到现在还没发货,1
4,买了10天就降价了，客服说还不能补差价！,1
4,一个月不到问题一堆，听筒还坏了,1
4,买了不到一个月现在就掉价了,1
4,现在别人哪里都没你活动价钱卖得高，而且耳机都不送,1
5,说送手机壳和膜，结果什么都没送，言而无信！,1
5,商品质量差，没用两天就坏了,1
5,耳机转接器都不送，买过没几天，居然降价了,1
5,买的手机到了，耳机还要半个月，生气,1
5,直播间下单什么东西都没有耳机都没一个,1
5,手机还行就是发货慢同城配送5天才到主要是包装不成样子手机,1
5,那个耳机没有一起送过来吗？耳机什么时候送到？,1
5,这耗电量摩托炮。是真的有点可怕。大快了。用到后面更加不得了。,1
5,刚买的手机已经开不开机了！！！！,1
5,说送耳机没送，玩套路的玩意，千万小心！,1
6,商家没信用，答应送的耳机结果没送,1
6,不太满意，连个钢化膜都不送，慢大街都找不到,1
6,手机不咋地   客服也不行   耳机说赠送也没有   最好别在手机上买  要买去专卖店！,1
6,手机到货很快，就是买早了，,1
6,打电话还有回音咋回事，,1
6,不咋的，用了才几天，打电话有回音，而且电池不赖用。,1
6,到退差价这个扣那个扣，到最后还是退完了,1
6,首发拿的手机  26号了耳机还没有  送不了你说什么赠品,1
6,玩游戏闪退，更新完了还是闪退！,1
6,第一次买手机装上卡，无服务，退了换货，可是赠品没有了,1
7,绿屏绿屏绿屏绿屏绿屏绿屏绿屏绿屏服了,1
7,老子的耳机呢，是不是打算拖到7天后不给我送了,1
7,我都拒收了，还给我代签，京东快递服务不好！,1
7,没有自己想象的那么好，有点失望。,1
7,第一天才买，第二天就降价了，耳机也没有送,1
7,刚用就这样，这应该是假吧。,1
7,花屏，开不开机,1
7,手机卡顿发热，打游戏一点都不顺滑,1
7,也就这样吧，普普通通没试过。,1
7,客服不行，跟客服小妹沟通不了。服务差。,1
8,为什么没有耳机，最基本的了,1
8,为什么没有耳机,1
8,我订单上有充电宝，手机来了充电宝没有,1
8,耳机快一个星期了还不发货,1
8,总是断流，太垃圾了,1
8,感觉不好！充电线都是皱皱的,1
8,0点结算尾款。硬是拖了一个多星期才发货。jian不jian啊，我就怼。,1
8,一直连不上手环，小米5，和华为6都连不上,1
8,什么都没送。钢化膜也没,1
8,打个游戏飞烫，打游戏网络不稳定,1
9,后盖与中框连接处缝隙过大。,1
9,不太好，用了没几天喇叭就坏了，电池待机时间也不长,1
9,买了还没一个月降价，还只支持七天价保，辣鸡,1
9,游戏网络信号卡的动不了,1
9,玩了一个月卡的要死打游戏不推荐买这手机,1
