index,comments,score
0,这款ⅤiVO iQOO NeO5手机实在是太过完美了，颜值超级好看，设计精美，手机采用的是高通骁龙870芯片，8GB运行，速度快，256GB机身内存，存储量更大，开机更快更流畅，6.62英寸全面屏，超高清屏幕，分辨率清晰真实，66w闪充，充电更快，方便实用，4800万超清主摄像头，拍照清晰，这样的一款手机实在是太好用了，值得推荐。,5
0,双十一换手机咯，618给自己换完手机，再给老妈换个好手机，一眼就相中这款vivoiQOO neo5，大内存，大屏幕，高刷，处理器高通晓龙870，总之就是很强大！,5
0,第二次购买了，非常好用的一部手机！性价比很高，各方面体验很不错。\n拍照效果：此价位前三的存在，对于拍照方面不必过于苛求。   \n运行速度：666内存融合技术，十几个APP都不带卡顿的，这点很是不错，看视频，回信息不用再被卡的想砸手机了&hellip;\n屏幕音效：外放音效不错，通话音质好！屏幕不刺眼，不累眼睛?\n外形外观：拿起来就不想放下。,5
0,外形外观：外观精致，美观，漂亮\n屏幕音效：音效棒\n拍照效果：拍照清晰\n运行速度：运行速度快\n待机时间：待机时间长\n其他特色：系统流畅，屏幕偏大，玩游戏很棒，女生使用感觉偏大。,5
0,物流很快和包装都很给力，保护很到位，手机盒子设计很有个性，\n性能方面120G刷新加上显示核心游戏效果很出众，体验半小时没有感觉发热，散热做的不错，\n摄像头带光学防抖拍视频很有用，像素也主流，很清楚。带两倍光学变焦，不是拍照发烧友的话平常拍照足够用了，颜值很高，手感也相当棒，设计师很给力，\n最后充电真的是快，插上去取个快递回来，已经充了10%了，简直了，总体非常满意。,5
0,京东的物流真的很快，昨天下午五点多下的单，今天早晨八点多就收到货了，快递小哥辛苦了。\n运行速度：非常流畅\n拍照效果：比我原来的手机效果好\n外形外观：大小合适\n屏幕音效：屏幕艳丽音效完美\n待机时间：手机控一天一充完全够用,5
0,这款手机看了很久了，还是在这家店下手了，收到货特别激动，赶紧拆开来看，确实是原装正品，官方买的就是靠谱，开机还是没有激活的，还送了张卡，这个手机比我想象的好多了，描述的也一样。颜色外观设计特别好，这个手机真的值得购买，音质也很好，充电也非常快，真是太喜欢了,5
0,外形外观：好看，特别喜欢这个颜色，看到买这个颜色的人不太多，毕竟其他颜色的手机家里已经有太多了，用起来分不清，换个显眼大气的也特别棒！\n屏幕音效：很好，双扬声，开机第一时间点开看手机配置和屏幕和音乐效果\n拍照效果：拍照效果：个人感觉 很好呀，完全够用，又不是专业拍照的，相册里基本上没个人照片，工作用拍点效果图足够了，生活偶尔拍拍风景差不多就可以了，很满意\n运行速度：刚拿到手，还没有完全体验，从开机到听歌拍照，感觉很流畅，应该没问题，很棒！我的个人观点，等待后期实用看本质\n待机时间：不知道，不过有快充很好了。买了3台iqoo了，都很不错，正常待机如果是我使用的话满电待机3天应该没有问题(个人因素)\n其他特色：2021年3月27日生产的，特别好看，背面NEO看着特别爽，很不错的机子，性价比也很高！对于已经戒游戏的我来说，刚退了两台K40晴雪12+256买的这个，虽然贵了500，不过感觉用vivo顺手一点，小米用的少，不想尝试和被耍猴,5
0,用了快一周才来评论，整体感觉很不错。第一次用vivo的手机，印象很好。第一，新手机运行速度很快，骁龙875的内存完全满足我的需要。当然，我不打手游，不刷短视频。第二，vivo的界面系统给了用户新的选择，可以施展个人创意。第三，摄影效果不错，后置摄像头风景，人像都可以。当然，也存在一些问题，一些角落的网络信号不好，同样的地点魅族Pro5(老手机)有网络，但是vivo却没有或者时断时续。这点令人遗憾。当然，新手机的续航是很不错的，一整天甚至一天半才充一次电。配送的耳机也很好用。,5
0,农历年前搞活动，一看以旧换新划算（我原先一直在用neo855），果断下单了。\n重量：和我原来的不相上下，所以很适应。\n屏幕：比我原先的略大（长一点）。\n运行速度：无法形容的快（申明，我不打游戏）。\n拍照：正在试用中，我是入门摄影爱好者，目前挺满意。\n服务：快递略有不满意（年底了，快递员回家了，手机到厦门仓库后迟迟不送货，直到我打了两通电话）\n最后换机，迁移数据等，服务到位。,5
1,给老婆买的手机，老婆收到很喜欢，手机看上去很漂亮，拍照效果也很不错，支持光学防抖，音质也还不错，双十一活动预约后买的，也看了很久，选的这一款，性价比很高，运行速度很快，非常流畅，正常使用一天没问题，很不错的一次购物,5
1,关注这款手机很久了，很喜欢的就是它的大内存，拍视频照片再也不怕了，然后处理器也很够用，玩现在的主流手游开高特效不卡，液冷散热是这款手机的亮点，3.2的高主频玩游戏也只是温热，我是2389买的还送了耳机，价格美丽性价比高，??,5
1,评价抽散热风扇是骗人的，这手机屏幕辣眼睛，不怕眼睛近视和视力变差就买吧，哦对了掉电有点快,5
1,外观设计漂亮，很喜欢?屏幕大小合适，音质不错。拍照效果很好，运行速度相当棒，总得来说很给力的一款手机?,5
1,用了好几天我终于来了。首先手机颜值很高很好看，然后充电真的特别快，重点是电量也很禁用，充电的时候手机有一点点发热，就是温温的那种，毕竟充满电真的很快，然后玩游戏也是，会发热但是不会烫，不像之前用过的手机都很烫，这个真的很好。然后拍照也是，拍出来好清晰，很真实，不会有奇奇怪怪的光线和效果，就很喜欢。,5
1,外形外观：外观很漂亮，颜色好，渐变的颜色，我很喜欢。低调中又有内涵，这个价位外观做的这样很好了，而且磨砂手感，摸在手里很舒服，打游戏的时候，不戴手机套玩，最合适这种后背。摄像头，设计很好，不突出，戴上保护套之后，完全不会有突起感觉。\n运行速度：高刷加骁龙870，使用非常流畅，游戏非常流畅，开到极致，画面清晰不卡顿\n其它特色：系统挺好，可玩性很高，有很多自己选择的功能。\n待机时间：玩游戏四个小时，还可以接受，充电时间30分钟，挺好的，速度很快。\n第一次入手vivo手机，带给我的体验和惊喜都是很棒的，希望后面能体验到更多的惊喜。\n拍照效果：有Ois光学防抖功能，体验起来比我以前的手机好用，拍照效果真好用\n过些日子再买一个，这个我比较满意。,5
1,充电挺快，26％到100％用了25分钟，续航也可以。\n外形外观：没图片好看\n\n待机时间：放了24小时掉10％的电\n\n运行速度：还可以。\n京东送货一直很快。,5
1,外形外观：完美高端大气\n拍照效果：很好，ios防抖\n运行速度：完美12+256G\n抢到了像素橙12+256才三千不到，极致性价比，外观很好，颜色很好看，之前用的X21，现在换了iqoo，系统非常流畅，用着很顺手。学生党经常打游戏，非常推荐太棒了，已经给同学推荐了，奥利给！,5
1,充电非常快，质量非常好，一直用vivo手机，耐用，做工质量最好，在国产品牌中。同事们都用vivo手机。电池散热性能都很好，iqoo又高性价比，直的很值。这次neo5进行了大升级，照相防抖，后盖都很大气。值得拥有。,5
1,京东物流就是快，手机特意用了几天来评价的，首先来说一下这款手机的配置绝对是算顶配了，虽然本人不喜欢玩游戏，这款手机的音质特别的棒，耳机口和充电口是一个接口，值得拥有的一款手机,5
2,拍照色彩鲜艳，特别喜欢，电池续航一天一充妥妥的，电话通话音质清晰，音乐效果很好，运行速度就更没话说了，玩起游戏来像火箭一样，嗖嗖！超赞！好评，京东物流超快，喜欢！,5
2,用了差不多一周来评价，充电神速，出门再也不用背充电宝了，以前用苹果，充电宝不离身。流畅度不错，没有出现卡顿，也没有出现发烫的情况，我玩游戏比较少，拍照做视频比较多，用剪映，对比和苹果的屏幕流畅度，没有苹果好，但不是特别影响。屏幕是超级大，看什么都爽。总之非常喜欢，满意！,5
2,外形外观：外观设计漂亮\n屏幕音效：手机音质也还不错。\n拍照效果：拍照模式多样，玩法很多，清晰度算很好了。\n运行速度：运行速度没的说，12+4的运行内存加上870的强悍处理器，一个字快。\n待机时间：开网络的情况下，一晚上待机消耗了5%的电，能接受。\n其他特色：游戏模式很经典，不会因为正在游戏延误干其他事情。wifi6的模式下载速度达到了峰值，爽到不行。最喜欢的就是主题可以混搭，自己编辑喜欢的模式。\n\n缺点也有，网络自助切换还不够智能化，下拉快捷键没有文字说明，不够方便。,5
2,使用一周，感觉手机很流畅，没有卡顿，充电速度很快，电池耐用，充电温度不高，屏幕显示很不错，清晰，色彩不错，不累眼，拍照效果也很好，很清晰，夜景也很清楚，进光亮大，放大也不糊，外观很不错，很好看很漂亮，做工很不错，质量不错，对这款手机还是很满意，,5
2,快递很快！第一次用IQOO的机，用了下感觉不错！玩游戏比之前的好，也没那么热！！！挺满意的！,5
2,外形外观：非常漂亮，是我喜欢的颜色！\n屏幕音效：挺好的！\n拍照效果：清晰度高\n运行速度：非常流畅\n待机时间：挺长的，4500毫安电池\n其他特色：手感好，大气！,5
2,用了有一段时间了，一点不卡顿，挺流畅的！没下单的朋友抓紧下单吧！目前便宜了好几百呢，国产手机就这样，一年更新换代三四次！不像苹果手机每年就一次！,5
2,外形外观：三种颜色都很喜欢，最后选了闷骚的蓝色。\n运行速度：比之前的手机快。。\n屏幕音效：屏幕不错，音效不懂\n待机时间：有快充怕啥\n其他特色：主要是能买到且价格合适，对手机的系统也很感兴趣,5
