index,comments,score
0,小米11手机反应灵敏，价格在同配置的机型中，性价比还是蛮高的。哈曼卡顿的音质还是蛮不错的，高保真，特别适合喜欢听音乐的朋友们。拍出的照片很清晰，看电影画质也很好，总的来说没什么短板。支持国产手机，相信我们的手机质量会比什么苹果，三星做的更好，小米加油！,5
0,外形外观：小米11的外观非常好看，浅蓝色的渐变色设计，很符合我的审美观点\n屏幕音效：三星E4 2k曲面屏，显示效果非常好，哈曼卡顿双扬声器支持，音质效果不错。\n拍照效果：小米11支持最高1亿像素，夜间拍照表现还不错。\n运行速度：小米11顶配12+256，对于MIUI12.5来说完全没问题，很流畅，但发热问题，确实是存在的，游戏温度一般在40-43左右。还能接受。,5
0,物美价廉，妥妥好手机，尤其相机很满意。微距拍非常厉害，肉眼，看不见的东西也能拍出来。\n运行速度：快快快。,5
0,第一次使用小米手机，感觉非常好！首先充电非常快，一会就充满了（没具体记多长时间），其次照相机非常清晰，播放音乐声音非常好听，使用后再接着评论。,5
0,外形外观：颜值很好，手感特别好，屏幕也可以手感挺好的，高刷屏幕非常的保护眼睛，分辨率也特别清晰\n屏幕音效：非常好\n拍照效果：一亿像素，非常给力\n运行速度：运行速度很快，只不过骁龙888容易发热\n待机时间：有点耗电\n其他特色：充电很快,5
0,第一次买小米手机。特意用了一段时间才来评论之前用华为手机，没想到华为也变了，我用不起了，每一分也是辛苦钱，这次选小米，2k屏，真的很惊艳，清晰度明显不一样，相机更强大，夜景杠杠的，电池4600mA，玩六个小时没有问题，康宁黑猩猩玻璃，价格还很亲民，喜欢的朋友可以考虑。当然，11pro喜欢的也可以上手，价钱差六七百，配置一样，选11还是不会后悔。,5
0,在买之前在网上看了很多的攻略，非常的忐忑，看到会有什么发热，卡顿啊，死机呀之类的，差评下有点担心。但是看到京东有七天无理由退货，所以还是试了一下，买来之后发现手感真的非常不错，是细细长长的，握在手上很舒服。然后系统用起来没有什么卡顿，非常的流畅，而且之前的小米手机之间能用。****换过来，连app什么的全部都下载成一模一样，设置也都可以转移过来，用习惯了还是非常的好的。另外充电非常的快。很快就能充满还是非常不错的，但是曲面屏的话，用起来没有什么感觉。会容易触碰到不想触碰的app之类的，觉得不是特别的实用。但是屏幕，然后电量还有拍照什么的，还都是非常不错的。并没有想象中的那么差，可能是被友商之类的差评吧，自己用下来几天，感觉还可以。,5
0,15号下单，等到24号终于到手，望穿秋水啊，整体很满意，速度快，颜值高。同时购买的65瓦充电头和55瓦无线充早就饥渴难耐了，插上一试，满负荷充电，速度杠杠的。配套送的55瓦有线充果然是没发货。。。,5
0,手机不错，用了好几年小米了，质量很好\n外形外观：外观非常好看，很喜欢\n屏幕音效：屏幕清晰，音效很好，听歌看电影，很嗨\n拍照效果：拍照清晰，像素真好\n运行速度：运行流畅，也不玩游戏，用着绰绰有余\n待机时间：待机时间也很好，,5
0,"手机用了一段时间了,用着很流畅,不卡顿,打电话语音清晰无杂音,外观设计很漂亮,还增个手机软壳,内存很大,运行速度快,屏幕很大很清晰,本机自带软膜,还赠个充电器,充电速度很快,是超级闪充,很不错",5
