index,comments,score
0,打开包装膜里面有黑点,1
0,用了一个月打电话重音,1
0,手机质量差，售后服务差,1
0,买了第二天就发现相机镜头起雾。,1
0,用了一个月，一个字卡，死机，,1
0,第一次在京东买手机，反正不要买就是,1
0,会卡，用着用着经常会卡,1
0,亏大发了，多花了800块钱才买到的,1
0,一天两个价，保价以后再次降价,1
0,延迟两天收到货  延迟两天,1
1,笑死，刚买了第二天就便宜200，,1
1,要是有第二选择就别买这个了,1
1,今天屏幕失灵近三个小时,1
1,我怀疑我买到水货了。,1
1,店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物,1
1,用了小米之后经常接不到电话,1
1,连勿扰模式都开不了，小米现在做的手机就这水平了？,1
1,手机不是很流畅，开关机有黑边,1
1,说给换新机结果给维修，也没有高速还是自己发现的,1
1,辣鸡产品，一摔就坏，不值得买,1
2,我敢保证这是我最后一个小米手机,1
2,挺好的，刚买没半个月打游戏都闪退,1
2,手机不行，玩一会就卡,1
2,刚买5天，怎么还无缘无故自动重启了,1
2,一般，手感一般，感觉不出啥来！,1
2,刚买一个多月就降了1000块，服气。,1
2,买了一个月掉价一千 你可真秀,1
2,怎么没有免费?卡啊,1
2,手机会突然黑屏并自动进入重启画面,1
2,买的是原野绿到手却是天空蓝并且手机电量是百本之一。,1
3,才用两天出现两次屏幕卡死的问题,1
3,说好的随赠商品一直不发货,1
3,说好的赠品，都20天了还没发货,1
3,这个是真的发热啊，还以为现在的小米不发热了,1
3,充电居然有电流声，像接触不良一样，太坑了,1
3,这手机不值这个价，货收到后，发现有问题也不解决，,1
3,它的赠品一个也没有吗？,1
3,售后服务都不帮解决问题,1
3,手机刚用半个月  好卡顿,1
3,劝大家不要买，买了就后悔，满满的套路,1
4,卡的要死，新手机都卡没谁了,1
4,就一部手机吗？多少送点东西吧 比如耳机,1
4,我想退货，电池不行，也不是快充，用着还卡,1
4,刚买几天就降价了，比较坑,1
4,手感好，客服服务态度也好。,1
4,用了几天 屏幕会闪屏,1
4,才买十几天就降价了，亏300,1
4,刚买到手就变相降价，还不给价保。,1
4,比较郁闷，晚买了一天少了一堆赠品，同样的价格,1
4,宣传页有赠品，到货没赠品,1
5,为什么晚买几天就没得补尊享礼包呢？,1
5,买了一个半月降价1000块,1
5,卡，不建议买，打王者荣耀直接掉帧,1
5,才买几天，莫名其妙直接变这样？,1
5,赠品少了个音箱，新机打王者还卡,1
5,买了个暖手炉 热天使用要用风扇降温,1
5,两个月不到，就死机3次,1
5,买了没多久就降价 还不退差价,1
5,刚刚买了就降价了，买的后悔了。,1
5,买了几天给我降200，申请都不给退@,1
6,电池不耐用\n手机发热\n拍照也不行其他还好,1
6,中奖了，手机屏幕跳转有花屏。,1
6,我今天才到货屏幕用不了，怎么点都没有用,1
6,收到货wifi连上不能用 冲不上电,1
6,刚买半个月就降价300，小米名副其实跳水王,1
6,买了一个多月 玩一个暗区突围就烧屏了 有多脆弱,1
6,说好的价保618，的确是价保了，但送的一个杯子一把伞扣我100，呵呵,1
6,有售后问题客服就开始退给京东客服,1
6,既然还能发错颜色款式给我，,1
6,质量不合格，刚收到就发现有问题,1
7,想问一下你们卡吗，小米我这个卡的一笔正常吗,1
7,**小米，真**卡，还没之前9流畅，*,1
