index,comments,score
0,买后9天降价，自认倒霉吧,1
0,刚买就降价，不值得购买,1
0,才一个月就降价350 \n无法接受,1
0,我还没收到怎么就签收了给我？？？,1
0,手机一发烫就卡成麻花了，是真不行,1
0,应该是用过的，发热比较重,1
0,不知道得是水货，蓝牙功能根本没发用，,1
0,原神发热掉帧严重，其他都不错,1
0,一般般吧主要是系统不好用其它也就那样,1
0,究极掉帧，散热背夹也行,1
1,小米在也不买，王者都卡爆,1
1,耗电太快，正常用到下午要冲两次电,1
1,刷视频经常绿屏我，618前买的还贵了两百块,1
1,为什么到手的时候系统还没更新？,1
1,手机体验感倍儿棒，,1
1,买完才没计提就降价了,1
1,只要是买回来没有多久就出问题啦,1
1,弟二天网络不佳想下个东西就卡,1
1,没想到在京东还能买到后封的  挺失望的,1
1,手机网特别不好，贼不好,1
2,为什么手机开热点电脑搜不到,1
2,辣鸡手机最后还是换货了,1
2,包装都开了，就差手机掉出来了，害怕?,1
2,第一次用小米的手机，发烫的要死，拍个视频卡成了app,1
2,红米加天机谁用谁懵逼,1
2,一个屏幕两种颜色上面正常，下面偏黄,1
2,说好的价保618，买了一百多,1
2,短信一会收到一会收不到,1
2,不好用 用了几天就开始卡顿,1
2,我6月17买的2369，618直接送一张150都券，只要2219，***,1
3,外包装磕磕碰碰也就算了，打开里面都是脏痕迹,1
3,120w快充半个小时都充不满,1
3,摄像头是歪的。购买请谨慎。,1
3,手机膜没贴好，商家客服不专业，瞎回复，,1
3,买来蓝牙就有问题真是醉了,1
3,"真有你的,买了没几天就便宜300",1
3,感觉充电的速度要比之前慢了,1
3,才买一个月不到，就降了差不多五百块。,1
3,手机到手几个小时屏幕触摸失灵,1
3,打开包装多送了个东西真刺激。,1
4,这是新手机？有指纹，有灰尘。,1
4,手机买了不到一个月，数据线充不上电，反正大家慎重吧,1
4,网络特别不好，换了一个手机，还是不好。,1
4,用了没几天，摄像头无法对焦了。,1
4,刚买来就卡，还没有那个戳卡针。卡都上不了,1
4,商品品控不行，新机屏幕有坏死像素点,1
4,买了一个月就降价了！想吐,1
4,商品非常好，以后不买了,1
4,买了这手机，直接戒网瘾,1
4,手机网络信号一点也不好  开着导航还会自动重启,1
5,手机不太喜欢，感觉不怎么样,1
5,这手机真的不行，打游戏卡的要死,1
5,真的想摔了这手机，买的最垃圾的一次，打游戏卡的要死，比一千多手机还不如，真的服了,1
5,没有玩游戏都发烫了，不知道会不会爆炸，什么鬼，郁闷..,1
5,6.17下的单，6.18送过来的，只是没想到，6.18当天竟然又便宜了100元钱。看来提前下单的人都是傻子了。,1
5,镁光内存直接少5W分，看不到的地方就缩水。可恶！,1
5,没见过这么差的手机，几天就坏了,1
5,东西刚拆封就是污渍 摄像头上还有灰尘 哎 退货后封机罢了,1
5,退货快递员也不上门 白瞎我买的退换无忧 一次很差的购物体验,1
5,买的全新机，刚拆封里面就有土，不知道是不是后封的,1
6,手机连接wifi总是有问题，显示无法连接外部网络,1
6,今天刚收到货就下载安兔兔测试  不知道官网的100万跑分怎么测的？  实测894243,1
6,卡，发热，信号不稳定,1
6,手机高清语音通话无法关闭,1
6,才买了十天，自个重启了两次，手机卡顿，反应慢，,1
6,这个手机网络是真的差,1
6,打王者有电流声，感觉要爆炸一样。,1
6,有电流声，尤其是看视频按暂停的时候,1
6,烂，用了一个月不到经常出现触屏不灵,1
6,忘记参与直播间活动了，烦躁手机还是不错的,1
7,别人退货的商品又发给我,1
7,"可别买，连不上WiFi,几乎一半都连不上",1
7,同样的商品   别人比迟买了一天便宜了二百,1
7,不说那么多，新手机能卡死，动不动黑屏动不了。,1
7,才用了不到两周就黑屏，无法开机,1
7,买了才几天就漏电，返修就用了一天，又漏电了,1
7,刚到手的一段时间各种bug，现在好些了，但是降价太狠了,1
7,开始的时候还好好的   后面越来越卡,1
7,保修假的，活动噱头来的，跟你玩文字游戏的,1
7,换了次货问题挺多，打王者掉帧，拍照不行，以后直接买小米，不买红米了,1
8,续航不能 充电快用的也快 还没之前的40好用,1
8,网络不稳定，经常4G跳成3G影响使用,1
8,说好的保价让人一言难尽&hellip;两天差价160，买了两台损失320&hellip;,1
8,买了10天降价300，还不能补差价,1
8,手机热点经常连接不到网络,1
8,卡槽不平，明显凹陷进去了。问客服回答是正常,1
8,降价奇快中间间隔20天不到，建议不要买等几天说不定2000都不要，他这2400**今晚2100就离谱.,1
