index,comments,score
0,外形外观：真的很不赖，手感也舒服\n屏幕音效：很不错，听起来不怪就行\n运行速度：很快，比我k30快多了\n待机时间：还可以，充一次用一天\n其他特色：总体感觉不错的\n拍照效果：比旧手机强多了,5
0,外形外观：外观稳重大气，手机后壳的陨石图案非常酷炫。\n屏幕音效： 上下双喇叭看电影放歌曲，声音效果特别棒，音质非常好，屏幕分辨率高，拍照文字图片显示的特别清晰，屏幕的分辨率非常非常非常高。\n拍照效果：拍照清晰细腻，拍照远近切换远近拉伸镜头照片，画面非常好，非常清晰。\n运行速度：运行非常流畅，一点都不卡顿，120W的充电器，充电速度特别的快,5
0,外形外观：整体外观还不错，手感也还行吧\n屏幕音效：双扬声器看视频不错\n拍照效果：一般\n运行速度：天玑9000很强，日常使用很流畅，玩游戏也不错\n待机时间：5000的电池配120W太强了，充电20分钟就能用上一天,5
0,细节非常完美，整体来说真的很不错。性价比很高，下载软件的时候 明显温度低很多 运行也比较流畅 120hz高刷自适应屏幕 真心舒服 可以说这次天际9000的功耗调节的非常不错 YYds 不要盲目的跟风 自己好用才是硬道理,5
0,外形外观：紅米K50 Pro的外觀在背蓋質感較佳，墨羽色為橄欖隕石紋理，隨著不同角度會有各種折射光，滿特別的。\n中框材質為塑膠，質感和觸感有明顯的廉價感，這部份滿可惜的，若為鋁鎂合金或是不鏽鋼材質較有旗艦機的質感。\nSIM卡槽退卡孔與收音孔位置太近，容易混淆，一開始退卡針還插到收音孔。\n屏幕音效：屏幕為三星OLED 2K屏，顯示效果非常好，眼睛看起來也舒服，刷新率120Hz也滿流暢的，觸控可達480Hz實際操作起來滿靈敏的；喇叭為實體雙喇叭（位置非對稱），有支援Dolby A**os音效，聽起來音質不錯，聲音大小設定超過中間才會有外放大聲的感覺，整體音效比我原本的K30至尊紀念版好滿多的。\n拍照效果：拍照效果不錯，相機鏡頭為三星S5KHM2一億畫素加上光學防抖，照片的解析度非常高，光學防抖也可加強拍照成功率；尚未測試夜拍效果，感光元件尺寸大應該成像效果也不錯\n运行速度：系統流暢度較佳，執行程式速度滿快的，遊戲載入速度也非常快；安兔兔跑分為93萬多分，與發表會上的100多萬分有差距，期待優化後能夠更加流暢以及更高分。\n其他特色：手感較佳，與我原本的K30至尊紀念版比較重量只輕5公克，但是實際拿起來感覺輕滿多的，可能重心有比較平均分散。,5
0,外形外观：喜欢这个墨羽色  花纹好好看?\n\n屏幕音效：2k屏幕贼清晰   跟双扬声器看剧太搭了\n\n拍照效果：一亿像素果然不是浪得虚名  哈哈哈\n\n运行速度：力挺天玑9000   运行棒棒哒  话不多说   懂得都懂\n其他特色：最喜欢这个120w充电   肉眼可见的速度直线拉升  妈妈再也不担心出门没电了,5
0,屏幕音效：2k屏幕不是盖的，非常清晰，色彩还原度高\n拍照效果：拍照速度很快，拍照清晰够用\n运行速度：天玑9000性能强，游戏运行流畅，主流游戏不掉帧，应用运行秒开\n其他特色：接近100w跑分性能强，红外功能，杜比全景声，120w充电，该有的都有，合我心意\n外形外观：外观耐看，辨识度还行,5
0,外观：手机外观无任何瑕疵，完美，银色看上去很高大上，手感也很好，主要是三星2K屏幕，很高清&hellip;\n功能：玩游戏还是很顺畅的，拍照也很清晰&hellip;\n优点：因为我是米粉，喜欢小米家的性价比！质量很好！\n今年目标?：想买，小米家的全家桶&hellip;,5
0,新买的k50pro，感觉很不错，2k屏幕?120w很给力，主要是电池续航十分给力，手里的iqoo9瞬间不香了，打游戏也还不错，价位精准，难得的好手机！,5
0,性价比高得一批，以后就用联发科方案的红米手机了，发热，续航都调教得很好，还第一时间解锁BL刷了面具装了框架，这手机真香,5
1,外形外观：外观感觉还不错，带壳塑料边框也没什么感觉\n屏幕音效：2K屏是真的清晰，音效也不错\n拍照效果：这个价位还能对拍照有什么要求呢\n运行速度：运行速度很快，很流畅，但是细节还需要打磨，希望越来越好\n待机时间：待机不错，一天一充，120W充的是真快,5
1,外形外观：看起来还是挺好看的，手感也还不错\n屏幕音效：2K屏幕非常清晰\n拍照效果：对拍照没什么要求，总体还是不错的\n运行速度：非常顺畅，\n待机时间：电池耐用,5
1,屏幕2k屏超清晰，充电超快，运行速度很快，天玑9000发热控制不错，墨羽色很喜欢，总体感觉不错！！！,5
1,买了两台，一台我用，一台家人用，这我用的，拍照摄像还不错，比换用的手机是有明显提升的，手机外观虽然网上都说廉价感，但上手感觉还是很精致的，都说塑料边框不好，是没吃过金属边框烫手的苦，精挑细选还是这款黑色，两台同样颜色，我们用外壳区分，上手很舒服，重量和大小都很不错，上个壳和钢化膜手感也比以前的手机好，2k120hz的高素质屏幕加上120w5000毫安的单芯快充，没谁了。打算用两年再换新手机，侧边指纹好顶赞，比屏下指纹好的不是一点半点，是质的提升，蓝牙效果很好，这台会玩游戏，充电发热有一定感知，但相比之前的手机，简直就是清凉，之前用的红米k30u。目前系统是开发版公测，没有什么常驻bug，很不错。,5
1,颜值高，选了喜欢的墨羽色，外观看着很细致，看视频画质清晰，声音效果也很好。一亿像素，拍照效果杠杠的，重点是120W快充，充满电速度很快，同京东物流一样快。,5
1,一直都是用这个牌子的手机，我们家人手一部，刚拿到就****，，非常满意。\n屏幕音效：双扬声器打游戏的声音很奈斯\n待机时间：5000的电池配120W的充电器，20分钟就充满了\n运行速度：天玑9000打游戏也很好\n拍照效果：很好\n外形外观：很喜欢的墨羽颜色好看,5
1,很好用,5
1,外形外观：线条流畅，手感挺好的\n屏幕音效：颜色有些浅黄，不刺眼\n拍照效果：非常好，清晰不失真\n运行速度：挺快的，以前的用了四年了哈哈，新手机觉得挺快的嘛\n待机时间：可以玩一整天，闪充奥利给！！最喜欢的！！\n其实就是因为王一博买的！！我是百香果，同品类永远偏向博君一肖?,5
1,Redmi K50 Pro幽芒色，一个骚气又好看的颜色?特别特别特别的爱不释手。真的，在灯光下照耀的颜色很炫\n天玑9000处理器很流畅，三星2K屏清洗色泽很好，OIS光学防抖的功能很实用，特别是我们这些女孩子很满意，哈哈哈?\n这个手机电池容量也很给力，以后出去拍照也能战斗很久了，好开心，而且包装简洁大气，还很贴心的配送了保护套，买回来都不用着急怕磕碰到了。,5
1,整体来说，相当丝滑。侧边指纹解锁也挺好用，像素与其它方面，整体非常不错。2k屏那是真香。系统用惯了，家里面也是米家生态链。,5
2,外形外观：黑色的很好看很有质感 比图片好看多了\n\n屏幕音效：屏幕很细腻色彩鲜艳\n\n拍照效果：1亿像素 拍照很清晰\n运行速度：运行速度很快 非常棒的手机 \n待机时间：大概可以使用一天。,5
2,外形外观：外观美，挺不错\n屏幕音效：不愧是2K屏幕，非常清晰，看着舒服\n拍照效果：一亿像素超清晰，超级满意\n运行速度：非常流畅，打游戏流畅不卡，感觉挺好\n待机时间：电池很耐用，5000毫安电池，待机一天半没问题，再也不用担心电不够用\n其他特色：不错的一次购物，红米手机值得拥有,5
2,买了两台，一台我用，一台家人用，这台家人用的，拍照摄像还不错，比换用的手机是有明显提升的，手机外观虽然网上都说廉价感，但上手感觉还是很精致的，精挑细选还是这款黑色，两台同样颜色，我们用外壳区分，上手很舒服，重量和大小都很不错，上个壳和钢化膜手感也比以前的手机好，2k120hz的高素质屏幕加上120w5000毫安的单芯快充，没谁了。打算用两年再换新手机，家人之前用的红米note8pro。这台不玩游戏，室温24-26度，发热卡顿现象几乎都没有，系统是稳定版。,5
2,手机颜值很高，像素很给力，后面两张是实拍图，买到就是赚到。关键充电贼快，价格很不贵才3000多，就能买到 2022年安卓系列最好的处理器了。,5
2,1.用了大概两个星期，入手这部机子是冲着天玑9000和2k屏幕来的.\n2.买的8+256G大容量版本，爽爆，视频应用什么的可以随便下了；\n可玩性高\n3.屏幕观感不错，2k确实清楚很多，而且跟iPhone和iqoo9pro比，偏色没那么大；\n天玑9000打游戏好用，温度也适合。\n5、回血快，20分钟左右满了\n1、续航一般般，看视频打游戏掉电挺快的，应该是跟屏幕设置全部调的最高有关\n2、非常偶尔会有卡顿和明显掉帧的情况，具体原因还在调查 \n3、侧边指纹解锁真的不错，妙解，比光学指纹，超声波指纹好多了。\n4、拍照扫码级别。,5
2,外形外观：简约时尚，没有什么太多的花哨设计\n屏幕音效：音效都不错，声音清晰\n拍照效果：拍照效果也很高，照片质量高档\n运行速度：天矶9000处理器运行很好，打开应用反应很快，也不发热\n其他特色：整体性价比很高的一台手机,5
2,外形外观：不错不错，我对这个没有太大的需求，主要看中性能，外观不错，符合我的审美\n屏幕音效：屏幕清晰，杜比音效很舒服\n拍照效果：可圈可点，这个价位拍照性能我要的性能\n运行速度：非常快，丝滑，天玑9000没有让我失望\n待机时间：强，5000毫安大电池可以的\n其他特色：120w充电yyds,5
2,手机手感不错，特别是显示效果非常好。此外，开启WIFI，网速非常快，还支持5G。存储256G足够用几年了，不卡。,5
2,非常流畅，手感很好，偶尔打打游戏，没有卡顿现象。充电无敌！\n发热还行，可接受！\n8+256内存绝对够用！,5
2,K40就那个了，感觉放备用机很是牛。性价比高。这k50一出就上了，整体来说真的很不错。性价比很高，游戏体验明显温度低很多运行也比较流畅120hz高刷自适应屏幕真心舒服可以说这次天际9000的功耗调节的非常不错YYds不要盲目的跟风自己好用才是硬道理,5
3,外形外观：银色的很酷炫，手感舒适。\n屏幕音效：120hz使用体验丝滑流畅，上下双扬声器音效不错\n拍照效果：拍照图片很清晰。\n运行速度：8+256切换应用很流畅。9000处理器不输高通8\n其他特色：120w快充速度特别快,5
3,手机是真的好用啊，非常非常nice\n手机\n充电16分钟 5000万大电池大电量\n屏幕2k分辨率 显示效果好，清晰，色彩还原真实（苹果都不到1k）屏幕刷新率高，120/s画面更流畅，苹果的只有60/s画面 ，\n1亿零八百万像素 拍照好,5
3,运行速度：天机9000+12G，2k屏加高刷，非常流畅，细腻\n拍照效果：1亿像素拍照清晰，速度很快\n屏幕音效：双扬声器避免了遮挡\n待机时间：120W秒充，随时可以保证有电,5
3,晚上下的单第二天早上就给送来了，京东没的说。\n新手机到手，老手机数据很快转入，一点也不卡顿，系统很流畅，屏幕清晰，而且充电是真的太快了，不错(*?&acute;╰╯`?)?,5
3,外形外观：非常的酷炫，很喜欢\n屏幕音效：挺好的\n拍照效果：超级好\n运行速度：天玑9000很快，打游戏很爽\n待机时间：挺长的，优化很好\n其他特色：一个字。爽,5
3,外形外观：首先是我喜欢的直面屏 很棒 虽说是塑料中框但不拉夸 后面也好看 我选的是绿色大爱\n屏幕音效：屏幕显示相当细腻 不亏是2K屏 分辨率也高 上下双喇叭看剧很舒服\n拍照效果：我对拍照没多大要求 一亿像素绝对够用效果也不错\n运行速度：天玑9000的性能不是盖的 比火龙系列不逊色 发热控制的很好 流畅度也好 特别丝滑\n待机时间：电池大 充电快 120w20多分钟充满 还在乎待机吗？你以为某果呢 充个电半天用半天\n其他特色：我想跟那些某果的舔苟说 都什么年代了还说国产卡卡卡 中高端机都这么丝滑柔顺 高端机更不用说了,5
3,第一次用红米，挺适应的，反应很快，充电很香，充一次电可以用上一整天；朋友说不打游戏的我用这手机浪费了，哈哈哈哈\n拍照效果：清晰\n\n运行速度：非常666\n屏幕音效：大屏幕，全屏,5
3,这部手机很实用，性价比很高，物有所值，系统很流畅，可以入手，推荐大家购买,5
3,这款手机买的挺满意的，用起来很流畅，外观也比较好看，手感极好，拍照很清晰，充电嘎嘎快，屏幕很清晰，很满意的一次购机。,5
3,"通信音质:非常清晰明了，没有什么杂音其他特色：使用\n流畅，电池特别抗用，续航在线，充电确实像描述的一样\n快,运行原神没有太大压力,屏幕大小刚好合适,黑色后\n壳在阳光下超级好看！手机后置摄像头像素也够用，光学\n防抖很好用显示效果：显示效果非常好，色彩分明",5
4,首发买入，这次送货很快了，次日就到了。用了一段时间，使用感受相当不错，屏幕看起来很舒服，120w快充是真滴快，预装的三方都可以删除，绿色实物比图片感觉好很多，作为不玩游戏的人，这台手机应该可以用很久。,5
4,红米k50pro手机真不错，与卖家描述的一样，是原装正货，红米大牌品质有保证，包装完好无缺，用料扎实，做工细致，挖孔很小的2k屏亮丽，机器功能强大，运行速度快而且稳定，系统操作流畅，机身大小厚薄刚好合适，是非常喜欢的机型。卖家服务好，发货及时，京东自营物流送货快捷迅速，上午下单，下午就收到，点赞加好评的！,5
4,手机到手很惊艳，屏幕完美，杜比立体声也还行。原来时间是华为P30pro.对比一下，拍照确实没有好。说实话。\n运行速度：12'G大内存运行起来没的说。\n外形外观：银色很不错，带壳塑料边框就无所谓了。,5
4,外观大气炫酷，音效特别好，拍照也清晰，运行也流畅，不卡顿，充电也不卡顿！,5
4,这手机壳很漂亮，质量很好，做工精细，手感很好，手感不错，满意。速度也挺快就是有点发烫，电池一般没红米9耐用！其余的都还行不错,5
4,"外形外观： 很大气美观，喜欢，2k屏幕,非常nice,音效很不错，听起来很饱满，音色圆润，运行速度很快，拍照超清晰，120W充电速度非常快，一次非常愉快的选择。",5
4,很好看，绿色的很好看，屏幕呈现色彩很不错，流畅度很好！整体做工感觉很扎实，120w快充份量很足！侧方位指纹上手体验还不错，解锁很快。集成按钮按起来也很舒服。,5
4,预售，发货比原计划快。电池容量大，120w，手感真的太好了，外壳有质感，屏幕显示效果非常明亮，扬声器很棒。相机拍摄也很好，清晰给力。性价比很高。,5
4,外形外观：外观大气，尤其是银色的非常喜欢\n屏幕音效：2K屏幕120HZ杠杠的\n拍照效果：一亿像素画质完美，夜景也很不错\n运行速度：非常的流畅，同时打开很多app丝毫不卡\n待机时间：120瓦快充绝对完美，正常20分钟充满，正常可以待机一天,5
4,运行流畅，充电神速，颜值无敌，游戏很丝滑。值得购买，期待红米越来越好。,5
5,外形外观：黑色很漂亮，背面右下角有一层碎结晶一样的反光图案。\n屏幕音效：屏幕效果不错，色彩挺好。\n拍照效果：拍照我觉得可以，但我平时用的不多要求也不高。\n运行速度：速度很快！天玑9000 性能不错。\n待机时间：充电速度快！待机时间也可以。\n其他特色：miui13 挺好。终于可以跟平板接力了。,5
5,外形外观：外观不多说了吧，四款最好看。\n屏幕音效：手机内的小马达，超级带感\n拍照效果：1亿像素，拍照功能杠杠的\n运行速度：天玑9000，不多说了吧，速度嗖嗖的\n待机时间：不玩游戏一天轻轻松松\n其他特色：整体来说，太香了，性价比之王,5
5,整机外观：非常奈斯，夏天到了喜欢这种清新的颜色\n                   手感拿取都挺不错，有质感！\n摄像头：后摄的造型新颖，年轻化，超高像素，拍照质量高！\n屏幕音效：屏幕滑动流畅，运行内存强大，5G网速就是不一样，喜欢听歌的我觉得非常值得购买，音质非常不错！\n待机时间：待机时间长，不像苹果的电量那么不耐用\n总结：整体印象分满分?，非常符合年轻人的需求，小米值得信赖！,5
5,1.外形外观：高级感，很美观，喜欢，幽芒真机比图片好看\n2.屏幕音效：不愧是2k屏幕，非常清晰，不辣眼睛，看着舒服了。\n3.拍照效果：拍照感觉还行 这次k50加了防抖\n4.运行速度：流畅，接近100w跑分\n5.其他特色：一直都是米粉，k5opro手机，很棒，就是喜欢侧边指纹解锁，反应灵敏，比屏下指纹解锁快很多，机身轻薄，手感好，120w神仙闪充回血一字，快，红米手机值得拥有,5
5,运行速度：旗舰机.反应超快\n外形外观：很漂亮.\n屏幕音效：2k屏幕，听歌，看电视，打游戏超给力。\n拍照效果：1亿像素，拍照超完美。\n非常好的手机，推荐购买，性价比超高的手机，超赞，支持小米，支持小米，支持小米。,5
